SkillBullet表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,Type,ElementType,FlyEffect,HitEffect,HitSound0,HitSound1,HitEffectPosition,MuzzleEffect,ExplosionEffect,WillHitBuffToTarget,HitBuffToTarget,HitBuffToSelf,Attack,AttackPercent,Speed,StartPosition,StartPointName,HitPoint,DamageModifier,EffectiveTarget,SingleTarget,IsDamage,Param0,ParamDesc0,Param1,ParamDesc1,Param2,ParamDesc2,Param3,ParamDesc3
10031,,,一星十字弓红宝石,2,2,101011,101012,3003,3004,1,21,0,,,,20,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
10041,,,一星十字弓绿宝石,2,5,101021,101022,3003,3004,1,19,0,,,,20,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
10051,,,一星十字弓蓝宝石,2,3,101031,101032,3003,3004,1,18,0,,,,20,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
11011,,,二星十字弓,2,0,101101,101002,3003,3004,1,4,0,,,,0,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
11021,,,二星十字弓紫宝石,2,4,101041,101042,3003,3004,1,20,0,,,,30,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
11031,,,二星十字弓红宝石,2,2,101011,101012,3003,3004,1,21,0,,,,30,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
11041,,,二星十字弓绿宝石,2,5,101021,101022,3003,3004,1,19,0,,,,30,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
11051,,,二星十字弓蓝宝石,2,3,101031,101032,3003,3004,1,18,0,,,,30,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
12011,,,三星十字弓,2,0,101201,101002,3003,3004,1,4,0,,,,0,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
12021,,,三星十字弓紫宝石,2,4,101041,101042,3003,3004,1,20,0,,,,40,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
12031,,,三星十字弓红宝石,2,2,101011,101012,3003,3004,1,21,0,,,,40,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
12041,,,三星十字弓绿宝石,2,5,101021,101022,3003,3004,1,19,0,,,,40,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
12051,,,三星十字弓蓝宝石,2,3,101031,101032,3003,3004,1,18,0,,,,40,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
20011,,,一星防空飞弹塔,15,0,102001,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20012,,,一星防空飞弹塔,15,0,102001,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20013,,,一星防空飞弹塔,15,0,102001,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20021,,,一星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,5,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20022,,,一星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,5,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20023,,,一星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,5,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20031,,,一星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,5,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20032,,,一星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,5,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20033,,,一星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,5,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20041,,,一星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,5,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20042,,,一星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,5,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20043,,,一星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,5,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20051,,,一星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,5,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20052,,,一星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,5,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
20053,,,一星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,5,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21011,,,二星防空飞弹塔,15,0,102101,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21012,,,二星防空飞弹塔,15,0,102101,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21013,,,二星防空飞弹塔,15,0,102101,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21014,,,二星防空飞弹塔,15,0,102101,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21021,,,二星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,10,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21022,,,二星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,10,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21023,,,二星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,10,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21024,,,二星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,10,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21031,,,二星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,10,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21032,,,二星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,10,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21033,,,二星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,10,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21034,,,二星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,10,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21041,,,二星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,10,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21042,,,二星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,10,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21043,,,二星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,10,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21044,,,二星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,10,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21051,,,二星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,10,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21052,,,二星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,10,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21053,,,二星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,10,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
21054,,,二星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,10,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22011,,,三星防空飞弹塔,15,0,102201,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22012,,,三星防空飞弹塔,15,0,102201,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22013,,,三星防空飞弹塔,15,0,102201,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22014,,,三星防空飞弹塔,15,0,102201,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22015,,,三星防空飞弹塔,15,0,102201,102002,3024,3025,1,5,0,,,,0,1,22,4,Fire_point_5,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22021,,,三星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,15,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22022,,,三星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,15,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22023,,,三星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,15,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22024,,,三星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,15,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22025,,,三星防空飞弹塔紫宝石,15,4,102041,102042,3024,3025,1,20,0,,,,15,1,22,4,Fire_point_5,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22031,,,三星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,15,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22032,,,三星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,15,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22033,,,三星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,15,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22034,,,三星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,15,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22035,,,三星防空飞弹塔红宝石,15,2,102011,102012,3024,3025,1,21,0,,,,15,1,22,4,Fire_point_5,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22041,,,三星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,15,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22042,,,三星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,15,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22043,,,三星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,15,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22044,,,三星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,15,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22045,,,三星防空飞弹塔绿宝石,15,5,102021,102022,3024,3025,1,19,0,,,,15,1,22,4,Fire_point_5,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22051,,,三星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,15,1,22,4,Fire_point_1,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22052,,,三星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,15,1,22,4,Fire_point_2,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22053,,,三星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,15,1,22,4,Fire_point_3,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22054,,,三星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,15,1,22,4,Fire_point_4,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
22055,,,三星防空飞弹塔蓝宝石,15,3,102031,102032,3024,3025,1,18,0,,,,15,1,22,4,Fire_point_5,BodyPoint,2,2,1,1,1,弹跳次数,-1,弹跳范围(小于0取塔范围),1,每次弹跳的伤害衰减(1不衰减),,
30011,,,一星投石机,10,0,103001,0,3012,3013,1,6,103002,,,,0,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
30021,,,一星投石机紫宝石,10,4,103041,0,3012,3013,1,20,103042,,,,15,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
30031,,,一星投石机红宝石,10,2,103011,0,3012,3013,1,21,103012,,,,15,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
30041,,,一星投石机绿宝石,10,5,103021,0,3012,3013,1,19,103022,,,,15,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
30051,,,一星投石机蓝宝石,10,3,103031,0,3012,3013,1,18,103032,,,,15,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
31011,,,二星投石机,10,0,103001,0,3012,3013,1,6,103002,,,,0,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
31021,,,二星投石机紫宝石,10,4,103041,0,3012,3013,1,20,103042,,,,25,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
31031,,,二星投石机红宝石,10,2,103011,0,3012,3013,1,21,103012,,,,25,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
31041,,,二星投石机绿宝石,10,5,103021,0,3012,3013,1,19,103022,,,,25,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
31051,,,二星投石机蓝宝石,10,3,103031,0,3012,3013,1,18,103032,,,,25,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
32011,,,三星投石机,10,0,103001,0,3012,3013,1,6,103002,,,,0,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
32021,,,三星投石机紫宝石,10,4,103041,0,3012,3013,1,20,103042,,,,35,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
32031,,,三星投石机红宝石,10,2,103011,0,3012,3013,1,21,103012,,,,35,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
32041,,,三星投石机绿宝石,10,5,103021,0,3012,3013,1,19,103022,,,,35,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
32051,,,三星投石机蓝宝石,10,3,103031,0,3012,3013,1,18,103032,,,,35,1,12,4,Fire_point,FootPoint,0,1,0,1,1,抛物线最高高度,3,爆炸范围,,,,
40021,,,一星镶嵌塔一星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,36,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.35,攻击力递减百分比,,,,
40031,,,一星镶嵌塔红宝石,1,2,104011,104012,3036,3037,1,37,0,,,,60,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
40041,,,一星镶嵌塔绿宝石,1,5,104021,104022,3042,3043,1,35,0,,,,45,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
40051,,,一星镶嵌塔蓝宝石,1,3,104031,104032,3039,3040,1,34,0,,,,20,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
40121,,,一星镶嵌塔二星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,49,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.35,攻击力递减百分比,,,,
40221,,,一星镶嵌塔三星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,63,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.35,攻击力递减百分比,,,,
40321,,,一星镶嵌塔四星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,79,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.35,攻击力递减百分比,,,,
40421,,,一星镶嵌塔五星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,103,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.35,攻击力递减百分比,,,,
41021,,,二星镶嵌塔一星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,41,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.3,攻击力递减百分比,,,,
41031,,,二星镶嵌塔红宝石,1,2,104011,104012,3036,3037,1,37,0,,,,85,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
41041,,,二星镶嵌塔绿宝石,1,5,104021,104022,3042,3043,1,35,0,,,,50,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
41051,,,二星镶嵌塔蓝宝石,1,3,104031,104032,3039,3040,1,34,0,,,,30,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
41121,,,二星镶嵌塔二星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,54,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,,0.3,,,,,
41221,,,二星镶嵌塔三星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,74,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.3,攻击力递减百分比,,,,
41321,,,二星镶嵌塔四星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,85,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.3,攻击力递减百分比,,,,
41421,,,二星镶嵌塔五星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,111,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.3,攻击力递减百分比,,,,
42021,,,三星镶嵌塔一星紫宝石,3,4,104043,104042,3045,3046,1,36,0,,,,62,1,0,4,Fire_point_1,BodyPoint,0,3,1,1,3,串联的目标数量,0.25,攻击力递减百分比,,,,
42031,,,三星镶嵌塔红宝石,1,2,104011,104012,3036,3037,1,37,0,,,,110,1,13,4,Fire_point_1,BodyPoint,0,3,1,1,,,,,,,,
