BuffDetail表格,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,BuffTypeID,Name,Description,BuffTime,Param0,ParamDesc0,Param1,ParamDesc1,Param2,ParamDesc2,Param3,ParamDesc3,Param4,ParamDesc4,Param5,ParamDesc5,Param6,ParamDesc6,Param7,ParamDesc7
6,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到投石机的效果,-1,5,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
7,,,9,命中敌人时触发,1级红宝石镶嵌到镶嵌塔的效果,-1,8,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
8,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到镶嵌塔的效果,-1,40,叠加的燃烧伤害值固定值,0.5,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
364,,,9,命中敌人时触发,1级红宝石镶嵌到火炮塔的效果,-1,365,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
365,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到火炮塔的效果,-1,20,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
404,,,9,命中敌人时触发,1级红宝石镶嵌到球形飞弹塔的效果,-1,405,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
405,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到球形飞弹塔的效果,-1,20,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
484,,,9,命中敌人时触发,1级红宝石镶嵌到天空之矛的效果,-1,485,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
485,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到天空之矛的效果,-1,20,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
444,,,9,命中敌人时触发,1级红宝石镶嵌到霰弹塔的效果,-1,445,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
445,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到霰弹塔的效果,-1,20,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
564,,,9,命中敌人时触发,1级红宝石镶嵌到气球炸弹塔的效果,-1,565,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
565,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到气球炸弹塔的效果,-1,40,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
604,,,9,命中敌人时触发,1级红宝石镶嵌到电磁震荡塔的效果,-1,605,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
605,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到电磁震荡塔的效果,-1,40,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
644,,,9,命中敌人时触发,1级红宝石镶嵌到风刃发射器的效果,-1,645,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
645,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到风刃发射器的效果,-1,40,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
9,,,9,命中敌人时触发,1级绿宝石镶嵌到十字弓的效果,-1,10,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
10,,,3,中毒,1级绿宝石镶嵌到十字弓的效果,5,2,叠加层数,2003,特效ID,,,,,,,,,,,,
11,,,9,命中敌人时触发,1级绿宝石镶嵌到防空飞弹塔的效果,-1,12,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
12,,,3,中毒,1级绿宝石镶嵌到防空飞弹塔的效果,5,2,叠加层数,2003,特效ID,,,,,,,,,,,,
13,,,9,命中敌人时触发,1级绿宝石镶嵌到投石机的效果,-1,14,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
14,,,3,中毒,1级绿宝石镶嵌到投石机的效果,5,2,叠加层数,2003,特效ID,,,,,,,,,,,,
15,,,9,命中敌人时触发,1级绿宝石镶嵌到镶嵌塔的效果,-1,16,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
16,,,3,中毒,1级绿宝石镶嵌到镶嵌塔的效果,5,8,叠加层数,2003,特效ID,,,,,,,,,,,,
17,,,9,命中敌人时触发,1级蓝宝石镶嵌到十字弓的效果,-1,18,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
18,,,4,"百分比减速,固定百分比",1级蓝宝石镶嵌到十字弓的效果,3,0.1,减速百分比,2004,特效ID,,,,,,,,,,,,
19,,,9,命中敌人时触发,1级蓝宝石镶嵌到防空飞弹塔的效果,-1,20,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
20,,,4,"百分比减速,固定百分比",1级蓝宝石镶嵌到防空飞弹塔的效果,3,0.1,减速百分比,2004,特效ID,,,,,,,,,,,,
21,,,9,命中敌人时触发,1级蓝宝石镶嵌到投石机的效果,-1,22,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
22,,,4,"百分比减速,固定百分比",1级蓝宝石镶嵌到投石机的效果,3,0.1,减速百分比,2004,特效ID,,,,,,,,,,,,
23,,,9,命中敌人时触发,1级蓝宝石镶嵌到镶嵌塔的效果,-1,24,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
24,,,5,"百分比减速,根据宝石等级和塔等级计算",1级蓝宝石镶嵌到镶嵌塔的效果,3,,,,,,,,,,,,,,,,
129,,,9,命中敌人时触发,2级红宝石镶嵌到十字弓的效果,-1,130,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
130,,,36,伤害递减的燃烧伤害,2级红宝石镶嵌到十字弓的效果,-1,10,叠加的燃烧伤害值固定值,0.6,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
131,,,9,命中敌人时触发,2级红宝石镶嵌到防空飞弹塔的效果,-1,132,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
132,,,36,伤害递减的燃烧伤害,2级红宝石镶嵌到防空飞弹塔的效果,-1,10,叠加的燃烧伤害值固定值,0.6,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
133,,,9,命中敌人时触发,2级红宝石镶嵌到投石机的效果,-1,134,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
134,,,36,伤害递减的燃烧伤害,2级红宝石镶嵌到投石机的效果,-1,10,叠加的燃烧伤害值固定值,0.6,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
135,,,9,命中敌人时触发,2级红宝石镶嵌到镶嵌塔的效果,-1,136,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
136,,,36,伤害递减的燃烧伤害,2级红宝石镶嵌到镶嵌塔的效果,-1,60,叠加的燃烧伤害值固定值,0.5,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
137,,,9,命中敌人时触发,2级绿宝石镶嵌到十字弓的效果,-1,138,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
138,,,3,中毒,2级绿宝石镶嵌到十字弓的效果,5,4,叠加层数,2003,特效ID,,,,,,,,,,,,
139,,,9,命中敌人时触发,2级绿宝石镶嵌到防空飞弹塔的效果,-1,140,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
140,,,3,中毒,2级绿宝石镶嵌到防空飞弹塔的效果,5,4,叠加层数,2003,特效ID,,,,,,,,,,,,
141,,,9,命中敌人时触发,2级绿宝石镶嵌到投石机的效果,-1,142,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
142,,,3,中毒,2级绿宝石镶嵌到投石机的效果,5,4,叠加层数,2003,特效ID,,,,,,,,,,,,
143,,,9,命中敌人时触发,2级绿宝石镶嵌到镶嵌塔的效果,-1,144,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
144,,,3,中毒,2级绿宝石镶嵌到镶嵌塔的效果,5,12,叠加层数,2003,特效ID,,,,,,,,,,,,
145,,,9,命中敌人时触发,2级蓝宝石镶嵌到十字弓的效果,-1,146,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
146,,,4,"百分比减速,固定百分比",2级蓝宝石镶嵌到十字弓的效果,3,0.15,减速百分比,2004,特效ID,,,,,,,,,,,,
147,,,9,命中敌人时触发,2级蓝宝石镶嵌到防空飞弹塔的效果,-1,148,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
148,,,4,"百分比减速,固定百分比",2级蓝宝石镶嵌到防空飞弹塔的效果,3,0.15,减速百分比,2004,特效ID,,,,,,,,,,,,
149,,,9,命中敌人时触发,2级蓝宝石镶嵌到投石机的效果,-1,150,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
150,,,4,"百分比减速,固定百分比",2级蓝宝石镶嵌到投石机的效果,3,0.15,减速百分比,2004,特效ID,,,,,,,,,,,,
151,,,9,命中敌人时触发,2级蓝宝石镶嵌到镶嵌塔的效果,-1,152,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
152,,,5,"百分比减速,根据宝石等级和塔等级计算",2级蓝宝石镶嵌到镶嵌塔的效果,3,,,,,,,,,,,,,,,,
157,,,9,命中敌人时触发,3级红宝石镶嵌到十字弓的效果,-1,158,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
158,,,36,伤害递减的燃烧伤害,3级红宝石镶嵌到十字弓的效果,-1,20,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
159,,,9,命中敌人时触发,3级红宝石镶嵌到防空飞弹塔的效果,-1,160,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
160,,,36,伤害递减的燃烧伤害,3级红宝石镶嵌到防空飞弹塔的效果,-1,20,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
161,,,9,命中敌人时触发,3级红宝石镶嵌到投石机的效果,-1,162,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
162,,,36,伤害递减的燃烧伤害,3级红宝石镶嵌到投石机的效果,-1,20,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
163,,,9,命中敌人时触发,3级红宝石镶嵌到镶嵌塔的效果,-1,164,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
164,,,36,伤害递减的燃烧伤害,3级红宝石镶嵌到镶嵌塔的效果,-1,100,叠加的燃烧伤害值固定值,0.5,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
165,,,9,命中敌人时触发,3级绿宝石镶嵌到十字弓的效果,-1,166,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
166,,,3,中毒,3级绿宝石镶嵌到十字弓的效果,5,8,叠加层数,2003,特效ID,,,,,,,,,,,,
167,,,9,命中敌人时触发,3级绿宝石镶嵌到防空飞弹塔的效果,-1,168,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
168,,,3,中毒,3级绿宝石镶嵌到防空飞弹塔的效果,5,8,叠加层数,2003,特效ID,,,,,,,,,,,,
169,,,9,命中敌人时触发,3级绿宝石镶嵌到投石机的效果,-1,170,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
170,,,3,中毒,3级绿宝石镶嵌到投石机的效果,5,8,叠加层数,2003,特效ID,,,,,,,,,,,,
171,,,9,命中敌人时触发,3级绿宝石镶嵌到镶嵌塔的效果,-1,172,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
172,,,3,中毒,3级绿宝石镶嵌到镶嵌塔的效果,5,24,叠加层数,2003,特效ID,,,,,,,,,,,,
173,,,9,命中敌人时触发,3级蓝宝石镶嵌到十字弓的效果,-1,174,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
174,,,4,"百分比减速,固定百分比",3级蓝宝石镶嵌到十字弓的效果,3,0.18,减速百分比,2004,特效ID,,,,,,,,,,,,
175,,,9,命中敌人时触发,3级蓝宝石镶嵌到防空飞弹塔的效果,-1,176,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
176,,,4,"百分比减速,固定百分比",3级蓝宝石镶嵌到防空飞弹塔的效果,3,0.18,减速百分比,2004,特效ID,,,,,,,,,,,,
177,,,9,命中敌人时触发,3级蓝宝石镶嵌到投石机的效果,-1,178,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
178,,,4,"百分比减速,固定百分比",3级蓝宝石镶嵌到投石机的效果,3,0.18,减速百分比,2004,特效ID,,,,,,,,,,,,
179,,,9,命中敌人时触发,3级蓝宝石镶嵌到镶嵌塔的效果,-1,180,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
180,,,5,"百分比减速,根据宝石等级和塔等级计算",3级蓝宝石镶嵌到镶嵌塔的效果,3,,,,,,,,,,,,,,,,
185,,,9,命中敌人时触发,4级红宝石镶嵌到十字弓的效果,-1,186,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
186,,,36,伤害递减的燃烧伤害,4级红宝石镶嵌到十字弓的效果,-1,30,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
187,,,9,命中敌人时触发,4级红宝石镶嵌到防空飞弹塔的效果,-1,188,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
188,,,36,伤害递减的燃烧伤害,4级红宝石镶嵌到防空飞弹塔的效果,-1,30,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
189,,,9,命中敌人时触发,4级红宝石镶嵌到投石机的效果,-1,190,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
190,,,36,伤害递减的燃烧伤害,4级红宝石镶嵌到投石机的效果,-1,30,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
191,,,9,命中敌人时触发,4级红宝石镶嵌到镶嵌塔的效果,-1,192,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
192,,,36,伤害递减的燃烧伤害,4级红宝石镶嵌到镶嵌塔的效果,-1,150,叠加的燃烧伤害值固定值,0.5,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
193,,,9,命中敌人时触发,4级绿宝石镶嵌到十字弓的效果,-1,194,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
194,,,3,中毒,4级绿宝石镶嵌到十字弓的效果,5,12,叠加层数,2003,特效ID,,,,,,,,,,,,
195,,,9,命中敌人时触发,4级绿宝石镶嵌到防空飞弹塔的效果,-1,196,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
196,,,3,中毒,4级绿宝石镶嵌到防空飞弹塔的效果,5,12,叠加层数,2003,特效ID,,,,,,,,,,,,
197,,,9,命中敌人时触发,4级绿宝石镶嵌到投石机的效果,-1,198,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
198,,,3,中毒,4级绿宝石镶嵌到投石机的效果,5,12,叠加层数,2003,特效ID,,,,,,,,,,,,
199,,,9,命中敌人时触发,4级绿宝石镶嵌到镶嵌塔的效果,-1,200,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
200,,,3,中毒,4级绿宝石镶嵌到镶嵌塔的效果,5,36,叠加层数,2003,特效ID,,,,,,,,,,,,
201,,,9,命中敌人时触发,4级蓝宝石镶嵌到十字弓的效果,-1,202,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
202,,,4,"百分比减速,固定百分比",4级蓝宝石镶嵌到十字弓的效果,3,0.2,减速百分比,2004,特效ID,,,,,,,,,,,,
203,,,9,命中敌人时触发,4级蓝宝石镶嵌到防空飞弹塔的效果,-1,204,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
204,,,4,"百分比减速,固定百分比",4级蓝宝石镶嵌到防空飞弹塔的效果,3,0.2,减速百分比,2004,特效ID,,,,,,,,,,,,
205,,,9,命中敌人时触发,4级蓝宝石镶嵌到投石机的效果,-1,206,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
206,,,4,"百分比减速,固定百分比",4级蓝宝石镶嵌到投石机的效果,3,0.2,减速百分比,2004,特效ID,,,,,,,,,,,,
207,,,9,命中敌人时触发,4级蓝宝石镶嵌到镶嵌塔的效果,-1,208,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
208,,,5,"百分比减速,根据宝石等级和塔等级计算",4级蓝宝石镶嵌到镶嵌塔的效果,3,,,,,,,,,,,,,,,,
213,,,9,命中敌人时触发,5级红宝石镶嵌到十字弓的效果,-1,214,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
214,,,36,伤害递减的燃烧伤害,5级红宝石镶嵌到十字弓的效果,-1,50,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
215,,,9,命中敌人时触发,5级红宝石镶嵌到防空飞弹塔的效果,-1,216,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
216,,,36,伤害递减的燃烧伤害,5级红宝石镶嵌到防空飞弹塔的效果,-1,50,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
217,,,9,命中敌人时触发,5级红宝石镶嵌到投石机的效果,-1,218,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
218,,,36,伤害递减的燃烧伤害,5级红宝石镶嵌到投石机的效果,-1,50,叠加的燃烧伤害值固定值,0,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
219,,,9,命中敌人时触发,5级红宝石镶嵌到镶嵌塔的效果,-1,220,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
220,,,36,伤害递减的燃烧伤害,5级红宝石镶嵌到镶嵌塔的效果,-1,200,叠加的燃烧伤害值固定值,0.5,叠加的燃烧伤害值百分比,1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
221,,,9,命中敌人时触发,5级绿宝石镶嵌到十字弓的效果,-1,222,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
222,,,3,中毒,5级绿宝石镶嵌到十字弓的效果,5,15,叠加层数,2003,特效ID,,,,,,,,,,,,
223,,,9,命中敌人时触发,5级绿宝石镶嵌到防空飞弹塔的效果,-1,224,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
224,,,3,中毒,5级绿宝石镶嵌到防空飞弹塔的效果,5,15,叠加层数,2003,特效ID,,,,,,,,,,,,
225,,,9,命中敌人时触发,5级绿宝石镶嵌到投石机的效果,-1,226,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
226,,,3,中毒,5级绿宝石镶嵌到投石机的效果,5,15,叠加层数,2003,特效ID,,,,,,,,,,,,
227,,,9,命中敌人时触发,5级绿宝石镶嵌到镶嵌塔的效果,-1,228,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
228,,,3,中毒,5级绿宝石镶嵌到镶嵌塔的效果,5,45,叠加层数,2003,特效ID,,,,,,,,,,,,
229,,,9,命中敌人时触发,5级蓝宝石镶嵌到十字弓的效果,-1,230,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
230,,,4,"百分比减速,固定百分比",5级蓝宝石镶嵌到十字弓的效果,3,0.23,减速百分比,2004,特效ID,,,,,,,,,,,,
231,,,9,命中敌人时触发,5级蓝宝石镶嵌到防空飞弹塔的效果,-1,232,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
232,,,4,"百分比减速,固定百分比",5级蓝宝石镶嵌到防空飞弹塔的效果,3,0.23,减速百分比,2004,特效ID,,,,,,,,,,,,
233,,,9,命中敌人时触发,5级蓝宝石镶嵌到投石机的效果,-1,234,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
234,,,4,"百分比减速,固定百分比",5级蓝宝石镶嵌到投石机的效果,3,0.23,减速百分比,2004,特效ID,,,,,,,,,,,,
235,,,9,命中敌人时触发,5级蓝宝石镶嵌到镶嵌塔的效果,-1,236,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
236,,,5,"百分比减速,根据宝石等级和塔等级计算",5级蓝宝石镶嵌到镶嵌塔的效果,3,,,,,,,,,,,,,,,,
366,,,9,命中敌人时触发,2级红宝石镶嵌到火炮塔的效果,-1,367,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
