CardPoolConfig表格,,,,,,,,
Both,,,,,,,,
ID,VariableName,VariableComment,ItemID,ItemType,ItemWeight,MustItemID,MustItemType,UseAddTowerTalent
27,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67,85,86,87,88,49,50,51,52,68,79,59,80,81,82,83,60,61,73,74,75,55,56,57,58,72,19,24,29,34","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
28,,,"25,26,27,28,29,77,30,31,32,76,33,34,69,53,70,54,71,89","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
29,,,"1,2,7,8,17,18,3,4,15,16","3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50",,,1
30,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
31,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
32,,,"1,2,7,8,17,18,3,4,15,16,5,6","3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50",,,1
41,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68,85,86,87,88","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
42,,,"1,2,7,8,17,18,3,4,15,16,5,6,13,14","3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
43,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68,85,86,87,88,79,59,80,81,82,83","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,50,50,50,50,50",,,1
44,,,"1,2,7,8,17,18,3,4,15,16,5,6,13,14,21,22","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
45,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68,85,86,87,88,79,59,80,81,82,83,60,61,73,74,75","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,50,50,50,50,50,50,50,50,50,50",,,1
46,,,"1,2,7,8,17,18,3,4,15,16,5,6,13,14,21,22,23,24","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
37,,,"25,26,27,28,77,30,31,32,76,33,34,69,53,70,54,71,89,42,43,78,84,44,45,64,48,65,66,67,85,86,87,88,49,50,51,52,68,79,59,80,81,82,83,60,61,73,74,75,55,56,57,58,72","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
38,,,"1,2,7,8,17,18,3,4,15,16,5,6,13,14,21,22,23,24,19,20","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
39,,,"25,26,27,28,29,77,30,31,32,76,33,34,69,53,70,54,71,89,78,42,66,67,86,88","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
40,,,"1,2,7,8,17,18,3,4,15,16,13,14","3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50",,,1
50,,,"1,2,25,26,27,28,29,77","3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50",,,1
51,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
52,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
53,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
54,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76,5,6,49,50,51,52,68","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
55,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76,5,6,49,50,51,52,68,15,16,48,64,65,66,67","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
56,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76,5,6,49,50,51,52,68,15,16,48,64,65,66,67,13,14,85,86,87,88","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
57,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76,5,6,49,50,51,52,68,15,16,48,64,65,66,67,13,14,85,86,87,88,21,22,59,79,80,81,82,83","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
58,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76,5,6,49,50,51,52,68,15,16,48,64,65,66,67,13,14,85,86,87,88,21,22,59,79,80,81,82,83,23,24,60,61,73,74,75","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
59,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,42,43,44,45,78,84,7,8,30,31,32,33,34,76,5,6,49,50,51,52,68,15,16,48,64,65,66,67,13,14,85,86,87,88,21,22,59,79,80,81,82,83,23,24,60,61,73,74,75,19,20,55,56,57,58,72","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,1
101,,,"25,26,27,29","3,3,3,3","100,100,100,100",,,1
102,,,"27,69,53,70,54,71,42,43,78","3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100",,,1
103,,,"25,26,27,29,69,53,70,54,71","3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100",,,1
104,,,"17,18,69,53,70,54,71","3,3,3,3,3,3,3","100,100,100,100,100,100,100",,,0
105,,,"3,4,42,43,44,45,78,84","3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100",,,1
201,,,9002,3,100,,,0
202,,,9001,3,100,,,0
203,,,9004,3,100,,,0
204,,,42,3,100,,,0
205,,,"1,2,25,26,27,28,29,77,17,18,53,54,69,70,71,89,3,4,44,45,78,84","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",,,0
