Localization表格,,,,,
Both,,,,,
ID,VariableName,VariableComment,Chinese,ChineseTraditional,English
13904,,,日常任务,日常任務,Daily
13905,,,主线任务,主線任務,Campaign
13906,,,挑战任务,挑戰任務,Challenge
13907,,,声望任务,声望任务,Mission
13908,,,已完成,已完成,Completed
13909,,,进行中,進行中,In Progress
14000,,,购买,購買,Purchase
14001,,,确认购买,確認購買,Confirm Purchase
14002,,,已售罄,已售罄,Sold Out
14003,,,售罄,售罄,Sold Out
14004,,,开服礼包,開服禮包,Welcome Gift
14005,,,每日特惠,每日特惠,Daily Special
14006,,,每周特惠,每週特惠,Weekly Special
14007,,,每日限购,每日限購,Daily Limit
14008,,,每周限购,每周限購,Weekly Limit
14009,,,天,天,d
14010,,,时,時,h
14011,,,分,分,m
14012,,,秒,秒,s
14013,,,剩{0}{1},剩{0}{1},{0}{1} Left
14014,,,{0}限购 {1},{0}限購 {1},{0} limit {1}
14015,,,商品已达购买上限！,商品已達購買上限！,Purchase Limit Reached!
14016,,,已售完,已售罄,Sold Out
14017,,,礼包详情,禮包詳情,Included
14018,,,物品,物品,Items
14019,,,{0}天{1}时{2}分{3}秒,{0}天{1}时{2}分{3}秒,{0}d {1}h {2}m {3}s
14020,,,{1}时{2}分{3}秒,{1}时{2}分{3}秒,{1}h {2}m {3}s
14021,,,{2}分{3}秒,{2}分{3}秒,{2}m {3}s
14022,,,{3}秒,{3}秒,{3}s
14023,,,{1}时{2}分,{1}时{2}分,{1}h {2}m
14024,,,{0}天,{0}天,{0} Day
14100,,,货币礼包,貨幣禮包,Currency Pack
14101,,,首充第一档礼包,首充第一檔禮包,First Recharge Tier 1 Pack
14102,,,首充第二档礼包,首充第二檔禮包,First Recharge Tier 2 Pack
14103,,,首充第三档礼包,首充第三檔禮包,First Recharge Tier 3 Pack
14104,,,月卡A,月卡A,Monthly Card A
14105,,,月卡B,月卡B,Monthly Card B
14106,,,宝石随机箱 I,寶石隨機箱 I,Random Gem Box I
14107,,,宝石随机箱 II,寶石隨機箱 II,Random Gem Box II
14108,,,宝石随机箱 III,寶石隨機箱 III,Random Gem Box III
14109,,,宝石随机箱 IV,寶石隨機箱 IV,Random Gem Box IV
14110,,,随机佣兵碎片*5宝箱,隨機傭兵碎片*5寶箱,Random Guardian Shard *5 Box
14111,,,随机佣兵碎片*10宝箱,隨機傭兵碎片*10寶箱,Random Guardian Shard *10 Box
14112,,,随机图纸*10宝箱,隨機圖紙*10寶箱,Random Blueprint *10 Box
14113,,,随机图纸*50宝箱,隨機圖紙*50寶箱,Random Blueprint *50 Box
14114,,,随机图纸,隨機圖紙,Random Blueprint
14115,,,佣兵盲盒,傭兵盲盒,Guardian Mystery Box
14116,,,防御塔图纸盲盒,防禦塔圖紙盲盒,Tower Blueprint Mystery Box
14117,,,幸运盲盒,幸運盲盒,Lucky Mystery Box
14118,,,体力包（小）,體力包（小）,Stamina Pack (Small)
14119,,,体力包（大）,體力包（大）,Stamina Pack (Large)
14120,,,单卖测试品1,單賣測試品1,Solo Test Item 1
14121,,,锯子特惠,鋸子特惠,Saw Special Offer
14122,,,铲子特惠,鏟子特惠,Shovel Special Offer
14123,,,经验书特惠,經驗書特惠,Experience Book Special Offer
14124,,,大体力特惠,大體力特惠,Large Stamina Special Offer
14125,,,500金币,500金幣,500 Coins
14126,,,1000金币,1000金幣,1000 Coins
14127,,,5500金币,5500金幣,5500 Coins
14128,,,12000金币,12000金幣,12000 Coins
14129,,,40000金币,40000金幣,40000 Coins
14130,,,体力礼包,體力禮包,Stamina Gift Pack
14131,,,防线大礼包,防線大禮包,Fortress Gift Pack
14132,,,1级宝石袋,1級寶石袋,Level 1 Gem Bag
14133,,,2级宝石袋,2級寶石袋,Level 2 Gem Bag
14134,,,3级宝石袋,3級寶石袋,Level 3 Gem Bag
14135,,,4级宝石袋,4級寶石袋,Level 4 Gem Bag
14136,,,5级宝石袋,5級寶石袋,Level 5 Gem Bag
14137,,,佣兵卡片随机宝箱,傭兵卡片隨機寶箱,Guardian Card Random Treasure Box
14138,,,特惠礼包,特惠禮包,Exclusives
14139,,,宝箱内容:,寶箱内容:,What's inside:
15000,,,新手卡池,新手卡池,Beginner
15001,,,常驻卡池,常驻卡池,Periodic
15002,,,冰原精锐,冰原精銳,Arctic Elite
15003,,,抽一次,抽一次,1 Recruit
15004,,,抽十次,抽十次,10 Recruits
15005,,,剩余次数:{0},剩餘次數:{0},Remaining:{0}
15006,,,查看雇佣概率,查看雇傭概率,Odds Reveal
15007,,,{0}抽必定获得1个金色品质佣兵（{1}/{0}）,{0}抽必定獲得1個金色品質傭兵（{1}/{0}）,1 Legendary Guardian guaranteed after {0} Recruits. ({1}/{0})
16000,,,防御塔丰碑,防禦塔豐碑,Tower
16001,,,全体十字弓加成效果:,全體十字弓加成效果,Curent Effect:
16002,,,全体飞镖发射器加成效果:,全體飛鏢發射器加成效果,Curent Effect:
16003,,,全体防空飞弹塔加成效果:,全體防空飛彈塔加成效果,Curent Effect:
16004,,,全体火炮塔加成效果:,全體火炮塔加成效果,Curent Effect:
16005,,,全体霰弹塔加成效果:,全體霰彈塔加成效果,Curent Effect:
16006,,,回旋镖塔,回旋鏢塔,Boomerang
16007,,,全体回旋镖塔加成效果:,全體回旋鏢塔加成效果,Curent Effect:
16008,,,全体天空之矛加成效果:,全體天空之矛加成效果,Curent Effect:
16009,,,全体风刃发射器加成效果:,全體波動塔加成效果,Curent Effect:
16010,,,全体电磁震荡塔加成效果:,全體震蕩塔加成效果,Curent Effect:
16011,,,气球飞弹塔,氣球炸彈塔,Balloon Launcher
16012,,,全体气球飞弹塔加成效果:,全體氣球飛彈塔加成效果,Curent Effect:
16013,,,进阶防御塔丰碑,進階防禦塔豐碑,Tower Advanced
16014,,,攻击之力,攻擊之力,Attack
16015,,,攻击之力效果:,攻擊之力效果,Curent Effect:
16016,,,攻速之力,攻速之力,Speed
16017,,,攻速之力效果:,攻速之力效果,Curent Effect:
16018,,,暴击之力,暴擊之力,Critical Hit
16019,,,暴击之力效果:,暴擊之力效果,Curent Effect:
16020,,,暴伤之力,暴傷之力,Critical Damage
16021,,,暴伤之力效果:,暴傷之力效果,Curent Effect:
16022,,,养成之力,養成之力,Ascension
16023,,,养成之力效果:,養成之力效果,Curent Effect:
16024,,,改造之力,改造之力,Forging
16025,,,改造之力效果:,改造之力效果,Curent Effect:
16026,,,佣兵丰碑,傭兵豐碑,Guardian
16027,,,村落之力,村落之力,Prime
16028,,,村落之力效果:,村落之力效果,Curent Effect:
16029,,,激活所有槽位解锁丰碑效果,激活所有槽位解鎖豐碑效果,Activate all slots to unlock the monument
16030,,,所有塔对精英和BOSS伤害:+5%,所有塔對精英和BOSS傷害:+5%,+5% Damage to Elite and BOSS for all towers
16031,,,激活,激活,Activate
16032,,,所有塔BOSS回合攻速:+8%,所有塔BOSS回合攻速:+8%,+8% Atk Speed for all towers during BOSS round
16033,,,所有塔暴击率:+3%,所有塔暴擊率:+3%,+3% Critical Hit Rate for all towers
16034,,,所有塔暴击伤害:12%,所有塔暴擊傷害:12%,+12% Critical Damage for all towers
16035,,,所有塔攻击力:+10%,所有塔攻擊力:+10%,+10% Atk for all towers
16036,,,防御塔初始等级:+1,防禦塔初始等級:+1,+1 initial level for all towers
16037,,,所有佣兵BOSS回合攻速:15%,所有傭兵BOSS回合攻速:15%,+15% Atk Speed for all Guardians during BOSS round
16038,,,所有佣兵暴击率:+3%,所有傭兵暴擊率:+3%,+3% Critical Hit Rate for all Guardians
16039,,,所有佣兵暴击伤害:12%,所有傭兵暴擊傷害:12%,+12% Critical Damage for all Guardians
16040,,,所有佣兵攻击力:20%,所有傭兵攻擊力:20%,+20% Atk for all Guardians
16041,,,佣兵主动技能CD减少1回合,傭兵主動技能CD減少1回合,Guardian active skill cooldown reduced by 1 turn
16042,,,{0}攻击力: +{1},{0}攻擊力: +{1},{0} +{1} Attack
16043,,,{0}攻击力: +{1}%,{0}攻擊力: +{1}%,{0} +{1}% Attack
16044,,,{0}攻速: +{1}%,{0}攻速: +{1}%,{0} +{1}% Atk Speed
16045,,,{0}震荡弹飞行速度: +{1}%,{0}震盪彈飛行速度: +{1}%,{0} +{1}% Bullet Speed
16046,,,{0}对精英伤害: +{1}%,{0}對精英傷害: +{1}%,{0} +{1}% Damage to Elites
16047,,,{0}对BOSS伤害: +{1}%,{0}對BOSS傷害: +{1}%,{0} +{1}% Damage to Bosses
16048,,,{0}对精英和BOSS伤害: +{1}%,{0}對精英和BOSS傷害: +{1}%,{0} +{1}% Damage to Elites and Bosses
16049,,,{0}暴击率: +{1}%,{0}暴擊率: +{1}%,{0} +{1}% Crit Chance
16050,,,{0}暴击伤害: +{1}%,{0}暴擊傷害: +{1}%,{0} +{1}% Crit Damage
16051,,,{0}BOSS回合攻速: +{1}%,{0}BOSS回合攻速: +{1}%,{0} +{1}% Atk Speed on Boss Wave 
16052,,,{0}精英死亡50%概率获得{1}建筑币,{0}精英死亡5%機率獲得{1}建築幣,{0} +5% Chance to Gain {1} Cogs on Elite Death
16053,,,{0}BOSS死亡50%概率获得{1}建筑币,{0}BOSS死亡50%機率獲得{1}建築幣,{0} +50% Chance to Gain {1} Cogs on Boss Death
16054,,,{0}防御塔初始等级: +{1},{0}防禦塔初始等級: +{1},{0} +{1} Initial Level
16055,,,{0}第3回合结束获得{1}建筑币,{0}第3回合結束獲得{1}建築幣,{0} Gain {1} Cogs at the End of Round 3
16056,,,{0}第5回合结束获得{1}建筑币,{0}第5回合結束獲得{1}建築幣,{0} Gain {1} Cogs at the End of Round 5
16057,,,{0}第8回合结束获得{1}建筑币,{0}第8回合結束獲得{1}建築幣,{0} Gain {1} Cogs at the End of Round 8
16058,,,{0}第10回合结束获得{1}建筑币,{0}第10回合結束獲得{1}建築幣,{0} Gain {1} Cogs at the End of Round 10
16059,,,{0}研究所提升攻击: +{1}%,{0}研究所提升攻擊: +{1}%,{0} +{1}% Attack in Reaserch
16060,,,{0}升级提升攻击: +{1}%,{0}升級提升攻擊: +{1}%,{0} +{1}% Attack When Level Up
16061,,,{0}每消耗20建筑币返还{1}建筑币,{0}每消耗20建築幣返還{1}建築幣,{0} +{1} Cogs Refund per 20 Spent
16062,,,{0}佣兵等级提升攻击: +{1}%,{0}傭兵等級提升攻擊: +{1}%,{0} Guardian Level +{1}% Attack
16063,,,{0}佣兵升星增加攻击: +{1},{0}傭兵升星增加攻擊: +{1},{0} +{1} Attack on Guardian Awakening
16064,,,{0}佣兵达到30级时攻速: +{1}%,{0}傭兵達到30級時攻速: +{1}%,{0} +{1}% Atk Speed at Guardian Lv.30
16065,,,{0}佣兵达到60级时攻速: +{1}%,{0}傭兵達到60級時攻速: +{1}%,{0} +{1}% Atk Speed at Guardian Lv.60
16066,,,{0}佣兵达到3星时攻速: +{1}%,{0}傭兵達到3星時攻速: +{1}%,{0} +{1}% Atk Speed for 3-Star Guardians
16067,,,{0}佣兵达到5星时攻速: +{1}%,{0}傭兵達到5星時攻速: +{1}%,{0} +{1}% Atk Speed for 5-Star Guardians
16068,,,{0}放置佣兵获得{1}建筑币,{0}放置傭兵獲得{1}建築幣,{0} Gain {1} Cogs on Guardian Deploy
16069,,,{0}佣兵使用主动技能获得{1}建筑币,{0}傭兵使用主動技能獲得{1}建築幣,{0} Gain {1} Cogs when Using Guardian Active Skills
16070,,,{0}佣兵主动技能CD减少{1}回合,{0}傭兵主動技能CD減少{1}回合,{0} -{1} Turns Guardian Active Skill Cooldown
17000,,,属性,屬性,Stats
17001,,,攻击,攻擊,Atk
17002,,,攻速,攻速,Atk Speed
17003,,,射程,射程,Range
17004,,,暴伤,暴傷,Crit Dmg
17005,,,经验,經驗,EXP
17006,,,主动,主動,Active
17007,,,被动,被動,Passive
17008,,,普攻,普攻,Auto
17009,,,技能,技能,Ability
17010,,,携带,携帶,Perk
17011,,,信息,信息,Stats
18000,,,请将【十字弓】（拖拽）到地面的（目标格位）,請將【十字弓】拖拽放到指定格子上,Drag the [Crossbow] to the designated tile
18001,,,吹响【号角】，开启战斗！,點擊【開戰】按鈕,Tap the [Fight] button
18002,,,点击选择第一个词条,點擊選擇第一個詞條,Tap to select the first perk
18003,,,点击查看词条背包,點擊查看詞條背包,Tap to view the perk inventory
18004,,,点击任意空白区域，关闭词条背包,點擊任意空白區域，關閉詞條背包,Tap anywhere to close the perk inventory
18005,,,将【十字弓】（拖拽放置）到地面的（目标格位）,放置一座【十字弓】到指定格子上,Place a [Crossbow] on the designated tile
18006,,,再放置一座【十字弓】到地面的（目标格位）,再放置一座【十字弓】到地面的（目标格位）,再放置一座【十字弓】到地面的（目标格位）
18007,,,点击选择任意一个词条,點擊選擇任意一個詞條,Tap to select any perk
18008,,,将【飞镖发射器】（拖拽放置）到地面的（目标格位）,放置【飛鏢發射器】到指定格子上,Place the [Ninja Star] on the designated tile
18009,,,点击已通过的“关卡图标”,點擊已通過的“關卡圖標”,Select the Level we just finished
18010,,,点击“关卡宝箱”,点击“关卡宝箱”,点击“关卡宝箱”
18011,,,"点击左上角【返回】按钮,回到村庄","點擊左上角【返回】按鈕, 回到大廳",Tap the top-left [Return] button to go back to the village
18012,,,点击【佣兵】,點擊【傭兵】,Tap [Guardians]
18013,,,点击【冒险】,點擊【冒險】,Tap [Compaign]
18014,,,点击“佣兵卡片”,點擊“傭兵卡片”,"Tap ""Guardian Card"""
18015,,,点击【挑战】按钮,點擊【挑戰】按鈕,Tap the [Fight] button
18016,,,放置任意两个防御塔,放置任意兩個防禦塔,Place any two towers
18017,,,"将任意防御塔升级到3级, 强化工事","將任意防禦塔升級到3級, 強化工事",Upgrade any tower to Lv.3
18018,,,放置任意一个防御塔,放置任意一個防禦塔,Place any tower
18019,,,"将任意防御塔升级到5级, 强化工事","將任意防禦塔升級到5級, 強化工事",Upgrade any tower to Lv.5
18100,,,你所在的村庄如今已被失心者包围，外围的布防只能抵挡他们一波攻势，下一波进攻很快就到，别傻站着，快来帮忙（构建防御！）,獸化的敵人即將來襲，放置防禦塔，做好作戰前的準備。,Beast-infested enemies are approaching! Place your towers and prepare for battle.
18101,,,拿取(第1个战斗词条).,拿取第1個戰鬥詞條，詞條可以幫助我們強化陣地的作戰能力！,Grab the first battle perk; it will help us fortify our defenses!
18102,,,拿取到的词条会进入词条背包，点击这里进行查看。,拿取到的詞條會進入詞條背包，點擊這裡進行查看。,The perks you acquire will go into your perk inventory. Tap here to view them.
18103,,,让我们来巩固防线，再放置一座【十字弓】到地面的（目标格位）,讓我們來鞏固防線，再放置一座【十字弓】防禦塔。,Let's reinforce the defense line by placing another [Crossbow] tower.
18104,,,根据前方哨兵的侦察，我们推演出下一次受袭的时间，在这期间我们要做好布防.,漂亮的作戰，看來你很有做指揮官的潛質，不要因為一次的成功而懈怠防禦，我有預感，下一次侵襲臨近了。,"Impressive battle! You have the potential of a great commander, but don’t slack off after just one victory. I have a feeling the next assault is close."
18105,,,前方的哨兵报告，临近的村子发现兽化敌人的暗探，预计很快就会侵袭，让我们做好防御准备吧。,前方的哨兵報告，臨近的村子發現獸化敵人的暗探，預計很快就會侵襲，讓我們做好防禦準備吧。,Scouts ahead report that beast-infested spies have been spotted near the village. We need to prepare our defenses quickly!
18106,,,"地图上已推演出敌人的(行进路线),(在路线上布置防御塔,能使敌人绕的更远,争取更多作战时间).","地图上已推演出敌人的(行进路线),(在路线上布置防御塔,能使敌人绕的更远,争取更多作战时间).","地图上已推演出敌人的(行进路线),(在路线上布置防御塔,能使敌人绕的更远,争取更多作战时间)."
18107,,,做的很好！我越发相信，不远的未来，你将会是一名赫赫有名的指挥官！,做得很好，我越發相信，不遠的未來，你將會是一名赫赫有名的指揮官！,Well done! I’m more confident than ever that you will be a renowned commander in the near future.
18108,,,除了布置防御点以外，作为指挥官，还要学会提升防御塔的质量，让我们开始升级防御塔，强化工事吧。,除了佈置防禦點以外，作為指揮官，還要學會提升防禦塔的質量，讓我們開始升級防禦塔，強化工事吧。,"Besides placing defense points, a good commander must also enhance the quality of the towers. Let's start upgrading the towers and fortifying our defenses."
18109,,,点击作战场景内【十字弓】防御塔,點擊作戰場景內【十字弓】防禦塔。,Tap on the [Crossbow] tower in the battle scene.
18110,,,"点击""小扳手""升级防御塔","點擊""小扳手""升級防禦塔。","Tap the ""Wrench"" icon to upgrade the tower."
18111,,,点击作战场景内另一座【十字弓】防御塔,點擊作戰場景內另一座【十字弓】防禦塔。,Tap on another [Crossbow] tower in the battle scene.
18112,,,"【飞镖发射器】可以攻击（近距离地面目标）,试试它的威力.",【飛鏢發射器】是一座能快速攻擊附近地面敵人的防禦塔，把它放在敵人的行進路線上，增強我們的工事。,The [Ninja Star] is a tower that rapidly attacks nearby ground enemies. Place it along the enemy’s path to strengthen our fortifications.
18113,,,我已经很久没看过如此酣畅淋漓的战斗了，谢谢你保护了这个村子，享受荣耀的同时，去领取你赢得的奖励吧！,我已經很久沒看過如此酣暢淋漓的戰鬥了，謝謝你保護了這個村子，享受榮耀的同時，去領取你贏得的獎勵吧。,"It’s been a long time since I’ve seen such a thrilling battle. Thank you for protecting this village. As you bask in glory, go claim your well-deserved reward!"
18114,,,这次的胜利让你赢得了一位佣兵伙伴的信任，佣兵对工事的防御有极大的帮助，集合佣兵让我们去进行下一场战斗吧！,这次的胜利让你赢得了一位佣兵伙伴的信任，佣兵对工事的防御有极大的帮助，集合佣兵让我们去进行下一场战斗吧！,这次的胜利让你赢得了一位佣兵伙伴的信任，佣兵对工事的防御有极大的帮助，集合佣兵让我们去进行下一场战斗吧！
18115,,,点击【返回】按钮回到村庄，开启新一轮的战斗吧！,點擊【返回】按鈕回到村莊，開啟新一輪的戰鬥吧！,Tap the [Return] button to go back to the village and start a new round of battles.
18116,,,新一轮的侵袭即将来临，和佣兵伙伴一起，守护我们的家园！,新一輪的侵襲即將來臨，和傭兵夥伴一起，進行一場轟轟烈烈的戰鬥吧！,A new wave of enemies is coming. Prepare for an epic battle alongside your Guardian companion!
18117,,,切记在前往战场前，一定要把佣兵勇士编入战斗单位，不然你就只能孤军作战了！,切記在前往戰場前，一定要把傭兵勇士編入戰鬥單位，不然你就只能孤軍作戰了！,"Don’t forget to assign your Guardian to the battle unit before heading to the battlefield. Otherwise, you’ll be fighting alone!"
18118,,,把佣兵拖拽到作战场地内，参与作战。,把傭兵拖拽到作戰場地內，參與作戰。,Drag the Guardian into the battle area to participate in combat.
18119,,,每个佣兵都拥有自己强大的主动技能，点击技能图标释放技能阻击敌人吧。,每個傭兵都擁有自己強大的主動技能，點擊技能圖標釋放技能阻擊敵人吧。,Each Guardian has a powerful active skill. Tap the skill icon to unleash it and strike the enemy.
18120,,,别忘了放置防御塔，佣兵孤军奋战可不是好事情！,別忘了放置防禦塔，傭兵孤軍奮戰可不是好事情！,Don’t forget to place towers; leaving the Guardian to fight alone isn’t a good idea!
18121,,,前线哨兵警报！警报！敌方阵营将领Boss出现在战场！,前線哨兵警報！警報！敵方陣營將領Boss出現在戰場！,Alert! Alert! The enemy Boss has appeared on the battlefield !
18122,,,这场战斗就交给你了，加油指挥官!,這場戰鬥就交給你了，加油指揮官！,"This battle is in your hands now. Good luck, Commander!"
18123,,,干的漂亮！村民们还在等我们的消息，一起凯旋吧。,幹得漂亮！村民們還在等我們的消息，一起凱旋吧。,Great job! The villagers are awaiting our good news. Let’s celebrate our victory together.
18124,,,你已经是一名合格的指挥官了，我的授课也到此结束，期待与你并肩作战，我们战场上见！,你已經是一名合格的指揮官了，我的授課也到此結束，期待與你並肩作戰，我們戰場上見！,You’re now a qualified Commander. My teachings are complete. I look forward to fighting alongside you on the battlefield!
18125,,,"自从天外(陨石坠落)到这个世界,森林里很多原本善良的居民被陨石携带的(病毒感染),失去心智的他们开始攻击附近的村庄.","自从天外(陨石坠落)到这个世界,森林里很多原本善良的居民被陨石携带的(病毒感染),失去心智的他们开始攻击附近的村庄.","自从天外(陨石坠落)到这个世界,森林里很多原本善良的居民被陨石携带的(病毒感染),失去心智的他们开始攻击附近的村庄."
18126,,,(木制地砖)承受不住防御塔的重量而无法放置，它会成为敌人移动的主要路线，多加注意！,(木制地砖)承受不住防御塔的重量而无法放置，它会成为敌人移动的主要路线，多加注意！,(木制地砖)承受不住防御塔的重量而无法放置，它会成为敌人移动的主要路线，多加注意！
18127,,,拿取（战斗词条）可以使对应（防御塔的战斗能力提升.）,拿取（战斗词条）可以使对应（防御塔的战斗能力提升.）,拿取（战斗词条）可以使对应（防御塔的战斗能力提升.）
18128,,,看样子你已经准备好，（“吹响号角”），（敌人）会（提前到达），这将是你的成名之战！,看样子你已经准备好，（“吹响号角”），（敌人）会（提前到达），这将是你的成名之战！,看样子你已经准备好，（“吹响号角”），（敌人）会（提前到达），这将是你的成名之战！
18129,,,哨兵发现的敌人都会记录在这，了解他们会帮助你做出布防决策。,哨兵发现的敌人都会记录在这，了解他们会帮助你做出布防决策。,哨兵发现的敌人都会记录在这，了解他们会帮助你做出布防决策。
18130,,,敌人的(飞行侦察兵)向我们飞来，快部署(防空塔)击落他！,敌人的(飞行侦察兵)向我们飞来，快部署(防空塔)击落他！,敌人的(飞行侦察兵)向我们飞来，快部署(防空塔)击落他！
18131,,,"【十字弓】可以攻击(近距离空中目标),试试它的威力.","【十字弓】可以攻击(近距离空中目标),试试它的威力.","【十字弓】可以攻击(近距离空中目标),试试它的威力."
18132,,,发现敌方(精英)和他的(飞行小队），（精英）会在（低血量）时（释放暗黑技能），快增加布防！,发现敌方(精英)和他的(飞行小队），（精英）会在（低血量）时（释放暗黑技能），快增加布防！,发现敌方(精英)和他的(飞行小队），（精英）会在（低血量）时（释放暗黑技能），快增加布防！
18133,,,是时候迎头痛击他们了，吹响号角！,是时候迎头痛击他们了，吹响号角！,是时候迎头痛击他们了，吹响号角！
18134,,,点击防御塔-【飞镖发射器】,点击【飞镖发射器】防御塔,点击【飞镖发射器】防御塔
