Buff表格,,,,,,
Both,,,,,,
ID,VariableName,VariableComment,Name,IsTrigger,DebuffGroupID,DeadCanTrigger
124,TriggerKillMonster,击杀怪物时触发,击杀怪物时触发,1,0,0
125,TriggerTimeInterval,每隔一定时间触发一次,每隔一定时间触发一次,1,0,0
126,BuffBulletFlyDisIncreaseExploRange,爆炸范围随着飞行距离增加,爆炸范围随着飞行距离增加,0,0,0
127,BuffBulletFlyDisIncreaseDamage,伤害随着飞行距离增加,伤害随着飞行距离增加,0,0,0
128,BuffBulletDamageUpInExploRange,对子弹爆炸一定范围内的敌人伤害增加,对子弹爆炸一定范围内的敌人伤害增加,0,0,0
129,BuffBulletSpeedUp,子弹飞行速度增加,子弹飞行速度增加,0,0,0
130,TriggerBuffToBulletExploRange,子弹爆炸时给范围内所有敌人附加buff,子弹爆炸时给范围内所有敌人附加buff,1,0,0
132,BuffXiangQianTaPurpleGemTargetCountUp,镶嵌塔紫宝石技能弹射目标数量增加,镶嵌塔紫宝石技能弹射目标数量增加,0,0,0
133,BuffTowerExploRangeDown,减少火炮塔爆炸范围,减少火炮塔爆炸范围,0,1,0
134,BuffIncreaseBulletCountHuoPao,火炮塔子弹数量增加,火炮塔子弹数量增加,0,0,0
135,BuffDamageDown,伤害降低,伤害降低,0,1,0
136,BuffAroundTowerCountAttackUp,塔附近1格有n个塔，每个塔增加该塔的攻击,塔附近1格有n个塔，每个塔增加该塔的攻击,0,0,0
137,BuffAroundTowerCountAttackSpeedUp,塔附近1格有n个塔，每个塔增加该塔的攻速,塔附近1格有n个塔，每个塔增加该塔的攻速,0,0,0
138,BuffMoveSpeedDownRouge,"肉鸽模式球形飞弹天赋特定减速Buff,百分比","肉鸽模式球形飞弹天赋特定减速Buff,百分比",0,1,0
139,TriggerWillHitHpMinPercent,击中前怪物血量高于百分比触发,击中前怪物血量高于百分比触发,1,0,0
140,BuffDefenceDownPercent,防御力百分比降低,防御力百分比降低,0,1,0
141,BuffInstantDeath,即死,即死,0,1,0
142,TriggerWillHitHpMaxPercent,击中前怪物血量低于百分比触发,击中前怪物血量低于百分比触发,1,0,0
143,BuffDamageUpStrengthMonster,攻击指定怪物时攻击力百分比加成,攻击指定怪物时攻击力百分比加成,0,0,0
144,BuffAttackSpeedUpStepped,初始攻击间隔提高，每次攻击降低攻击间隔，有叠加上限，若一定时间内未进行攻击则重置,初始攻击间隔提高，每次攻击降低攻击间隔，有叠加上限，若一定时间内未进行攻击则重置,0,0,0
145,TriggerBuffOnWaveStart,每波开始，概率添加某些状态，没随机到就会移除,每波开始，概率添加某些状态，没随机到就会移除,1,0,0
146,BuffCriticalDamageUp,暴击伤害增加,暴击伤害增加,0,0,0
147,BuffIncreaseBulletCountByNoDamageTime,一段时间内没有造成伤害，下次攻击子弹增加,一段时间内没有造成伤害，下次攻击子弹增加,0,0,0
148,BuffRangeDamageByHpMaxPercent,"击杀怪物时,对周围指定类型的怪物造成当前怪物最大血量百分比的伤害","击杀怪物时,对周围指定类型的怪物造成当前怪物最大血量百分比的伤害",0,0,0
149,BuffIncreaseBulletCountPercent,百分比增加子弹数量,百分比增加子弹数量,0,0,0
150,TriggerBuffByWaveBulletCount,"塔释放一定数量子弹,触发buff,直到波次结束","塔释放一定数量子弹,触发buff,直到波次结束",1,0,0
151,BuffRogueKillMonsterAddBuildCoin,肉鸽模式，塔每击杀n个敌人，获得m肉鸽建造点,肉鸽模式，塔每击杀n个敌人，获得m肉鸽建造点,0,0,0
152,BuffAttackUpOnceByKillMonster,击杀n个敌人后，下一次攻击提高,击杀n个敌人后，下一次攻击提高,0,0,0
153,BuffRogueKillMonsterCureLevelHp,每击杀n个敌人，回复m点已损失的羊村生命,每击杀n个敌人，回复m点已损失的羊村生命,0,0,0
154,BuffAttackDownThenUpByHitSameMonster,攻击力降低，每次攻击提高攻击力。上限n层，切换目标时重置,攻击力降低，每次攻击提高攻击力。上限n层，切换目标时重置,0,0,0
155,BuffChangeSearchTargetType,寻敌方式修改,寻敌方式修改,0,0,0
156,BuffDamageUpToDebuffMonster,对处于异常状态下的单位造成的伤害提升,对处于异常状态下的单位造成的伤害提升,0,0,0
157,BuffRogueKillMonsterFreeUpLevel,击杀n个敌人后，该塔升级免费,击杀n个敌人后，该塔升级免费,0,0,0
158,BuffScaleBullet,调整子弹大小,调整子弹大小,0,0,0
159,BuffBulletAttackUpHitMonster,波动塔子弹每穿过一个敌方单位，子弹攻击提高,波动塔子弹每穿过一个敌方单位，子弹攻击提高,0,0,0
160,BuffIncreaseFlyDisByRogueTowerLevel,肉鸽模式，按塔等级增加子弹飞行距离,肉鸽模式，按塔等级增加子弹飞行距离,0,0,0
161,BuffIncreaseBulletBounceTimes,增加弹跳子弹的弹跳次数,增加弹跳子弹的弹跳次数,0,0,0
162,BuffKillMonsterChangeRandomTower,击杀n个敌人后，随机变成一个塔，保留等级,击杀n个敌人后，随机变成一个塔，保留等级,0,0,0
163,BuffIncreaseHuoPaoExplosionMulti,火炮子弹概率爆炸多次,火炮子弹概率爆炸多次,0,0,0
164,BuffZhenDangNotDestroyBulletOnHit,设置电磁震荡塔子弹不消失,设置电磁震荡塔子弹不消失,0,0,0
165,TriggerBuffByEnterTowerRange,向进入该塔射程范围内的怪物添加buff,向进入该塔射程范围内的怪物添加buff,1,0,0
166,BuffMoveSpeedDownZhenDownTowerRange,电磁震荡塔射程减速buff，不叠加,电磁震荡塔射程减速buff，不叠加,0,2,0
167,BuffZhenDangAddBulletByKillMonster,电磁震荡塔击杀n个敌人，获得能量球,电磁震荡塔击杀n个敌人，获得能量球,0,0,0
168,TriggerBuffWhenBulletConsume,消耗n个子弹后触发buff,消耗n个子弹后触发buff,1,0,0
169,TriggerBuffToHexRangeTower,对六边形半径范围内的塔触发buff,对六边形半径范围内的塔触发buff,1,0,0
170,BuffZhenDangConsumeCriticalUp,电磁震荡塔子弹消耗的特殊暴击加成buff,电磁震荡塔子弹消耗的特殊暴击加成buff,0,0,0
171,TriggerBuffGlobalWhenBulletExplosionHuoPao,当塔的子弹爆炸时，对战斗中的全局角色触发buff,当塔的子弹爆炸时，对战斗中的全局角色触发buff,1,0,0
172,TriggerBuffWithAreaCollider,生成一个区域模型，根据他的碰撞箱，对其中的怪物附加buff,生成一个区域模型，根据他的碰撞箱，对其中的怪物附加buff,1,0,0
173,BuffMoveSpeedDownHuoPaoExplosionArea,火炮塔子弹爆炸残留提供的减速buff,火炮塔子弹爆炸残留提供的减速buff,0,2,0
174,BuffFocusAttackMonster,集火怪物的buff,集火怪物的buff,0,2,0
175,TriggerBuffToGridRangeTowerWhenPlace,"在放置和移动英雄时,对一定范围内的塔触发buff","在放置和移动英雄时,对一定范围内的塔触发buff",1,0,0
176,BuffWaveUpTowerNear,每过n回合，对旁边的防御塔升级,每过n回合，对旁边的防御塔升级,0,0,0
177,BuffAttackSpeedUpGongJianShou,弓手特殊攻速增加,弓手特殊攻速增加,0,0,0
178,BuffRogueHitMonsterAddBuildCoin,每击中n个敌人，获得m银币,每击中n个敌人，获得m银币,0,0,0
179,BuffRogueCoinInterest,肉鸽回合结束时，每有n银币，额外获得m银币，m有上限,肉鸽回合结束时，每有n银币，额外获得m银币，m有上限,0,0,0
180,BuffRogueMonsterBreakAddCoin,肉鸽模式前n个进入基地的怪物转化为m银币，boss无效,肉鸽模式前n个进入基地的怪物转化为m银币，boss无效,0,0,0
183,BuffImmunityPhysicDamage,免疫物理伤害,免疫物理伤害,0,0,0
204,BuffAttackSpeedUpByKillMonster,每击杀n单位，攻速增加,每击杀n单位，攻速增加,0,0,0
205,BuffAttackCriticalUpByTowerCount,根据场上防御塔数量，提升自身攻击力和暴击率,根据场上防御塔数量，提升自身攻击力和暴击率,0,0,0
206,TriggerBuffToGridRangeTowerByTowerCount,在放置和移动英雄时，且有一定数量的某种塔时，对一定范围内的塔触发buff,在放置和移动英雄时，且有一定数量的某种塔时，对一定范围内的塔触发buff,1,0,0
207,BuffSpeedAttackUpByTowerCount,根据场上某种防御塔数量，提升自身攻速和攻击,根据场上某种防御塔数量，提升自身攻速和攻击,0,0,0
208,BuffAttackUpByGridTowerCount,附近n格内有m个塔时，提升攻击力,附近n格内有m个塔时，提升攻击力,0,0,0
500,BuffAddTowerRogue,将防御塔带入肉鸽战斗,将防御塔带入肉鸽战斗,0,0,0
