TowerTalent表格,,,,,,,,,,,,
Both,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,SimpleDescription,Description,Buff,Icon,TowerType,IsPowerful,MaxSelectCount,PreTalent,MutexTalent
63,,,热身运动,回旋飞镖塔发射子弹超过时攻速增加,{0}释放子弹数量超过{1}，攻速+{2}%，直到波次结束,7151,Powerful,10,1,1,,
49,,,巨兽杀手,天空之矛眩晕,若{0}击中目标血量超过{1}%，晕眩{2}秒，BOSS时间减半,7113,Powerful,12,1,1,"6,1",51
50,,,破甲,天空之矛防御下降,{0}击中的单位防御-{1}%，持续{2}秒,7116,Powerful,12,1,1,,
51,,,斩杀,天空之矛几率斩杀,{0}击中血量小于{1}%的单位有{2}%的概率斩杀,7119,Powerful,12,1,1,"52,1",49
52,,,精锐杀手,天空之矛boss攻击增加,{0}攻击精英/首领怪物时，攻击+{1}%,7122,Powerful,12,1,1,"5,1",
68,,,修复,天空之矛杀敌回复关卡血量,{0}每击杀{1}个敌人，回复{2}点已损失的羊村生命,7163,Powerful,12,1,1,"50,1|5,1|6,1",
79,,,连击球,电磁震荡塔子弹不消失,{0}子弹碰撞后不消失，但是伤害-{1}%,7187,Powerful,15,1,1,"59,1|22,1","81,82,83"
59,,,电磁加速,电磁震荡塔旋转速度增加,{0}能量球的旋转速度+{1}%,7141,Powerful,15,1,1,,
80,,,减速磁场,电磁震荡塔范围内怪物移速降低,{0}射程内的怪物移动速度-{1}%，多个电磁震荡塔不叠加,7190,Powerful,15,1,1,,
81,,,生物电能,电磁震荡塔杀敌获得能量球,{0}击杀{1}个敌人，获得{2}个能量球,7193,Powerful,15,1,1,"80,1",79
82,,,快速充能,电磁震荡塔生成间隔减少,{0}能量球生成间隔-{1}%,7195,Powerful,15,1,1,,79
83,,,能量转移,电磁震荡塔能量球消失增加周围暴击,每有{1}个能量球消失，{0}{2}格范围的塔暴击+{3}%，持续{4}秒，最多{5}层,7197,Powerful,15,1,1,,79
60,,,范围强化,风刃发射器范围增加,{0}索敌范围+{1}%,7143,Powerful,16,1,1,"24,1",
61,,,风刃连击,风刃发射器子弹增加射速降低,{0}子弹+{1}，射速-{2}%,7145,Powerful,16,1,1,,
73,,,风刃强化,风刃发射器子弹增大伤害增加,{0}子弹大小+{1}%，伤害+{2}%,7174,Powerful,16,1,1,"23,1",
74,,,穿透强化,风刃发射器穿透时攻击提高,{0}子弹每穿过一个敌方单位，子弹攻击+{1}%,7177,Powerful,16,1,1,"61,1",75
75,,,顺风射击,风刃发射器增加飞行距离,{0}{1}级+{2}飞行距离，{3}级+{4}飞行距离,7179,Powerful,16,1,1,"60,1",74
55,,,气球音爆,气球炸弹塔范围内眩晕,{0}爆炸范围有{1}%概率造成{2}秒晕眩,7131,Powerful,14,1,1,"57,1",58
56,,,碎片扩散,气球炸弹塔爆炸范围增加攻击下降,{0}爆炸范围+{1}%，但是攻击-{2}%,7134,Powerful,14,1,1,"20,1",
57,,,满载炸弹,气球炸弹塔几秒内无伤害增加子弹,{0}在{1}秒内没有造成伤害，下次攻击子弹+{2},7137,Powerful,14,1,1,,
58,,,空袭震波,气球炸弹塔击杀造成范围减血,{0}击杀的单位会对附近{1}格的空中单位造成此单位最大生命{2}%的伤害,7139,Powerful,14,1,1,"19,1",55
72,,,消灭折扣,气球炸弹塔杀敌免费升级,{0}击杀{1}个敌人后，升级将变为免费,7172,Powerful,14,1,1,"58,1",
201,,,火力强化,十字弓伤害增加,{0}伤害+{1}%,7000,Harm,1,1,1,,
211,,,火力强化,天空之矛伤害增加,{0}伤害+{1}%,7008,Harm,12,1,1,,
221,,,火力全开,防空飞弹塔每秒加攻速,{0}每{1}秒攻速+{2}%，持续{3}秒,7075,Powerful,2,1,1,,
231,,,范围强化,风刃发射器范围增加,{0}索敌范围+{1}%,7143,Powerful,16,1,1,,
241,,,减速磁场,电磁震荡塔范围内怪物移速降低,{0}射程内的怪物移动速度-{1}%，多个电磁震荡塔不叠加,7190,Powerful,15,1,1,,
251,,,小型陨石,火炮塔加子弹减范围,{0}子弹数量+{1}，爆炸范围减少{2}%,7094,Powerful,9,1,1,,
261,,,狂热,霰弹塔击杀敌人提升攻击,{0}击杀{1}个敌人后，下一次攻击伤害+{2}%,7161,Powerful,11,1,1,,
271,,,速射,飞镖发射器攻速增加,{0}攻速+{1}%,7034,CD,13,1,1,,
281,,,致残,回旋飞镖塔命中减速,{0}子弹命中目标减速{1}%，持续{2}秒,7107,Powerful,10,1,1,,
291,,,消灭折扣,气球炸弹塔杀敌免费升级,{0}击杀{1}个敌人后，升级将变为免费,7172,Powerful,14,1,1,,
35,,,投石机射程增加,投石机射程增加,射程+{1}%,7078,Powerful,3,1,1,,
36,,,"投石机子弹飞行距离越远,爆炸范围越大",投石机飞行格子增加爆炸范围,子弹每飞行1个格子，爆炸范围+{1}%,7080,Powerful,3,1,1,,
37,,,"投石机子弹飞行距离越远,伤害越大",投石机飞行格子增加伤害,子弹每飞行1个格子，伤害+{1}%,7082,Powerful,3,1,1,,
38,,,投石机子弹对爆炸中心一定范围内的敌人伤害增加,投石机爆炸中心伤害增加,子弹对爆炸中心的{1}%范围内的敌人伤害+{2}%,7084,Powerful,3,1,1,,
39,,,"投石机子弹飞行速度增加,伤害增加",投石机飞行速度增加伤害增加,子弹飞行速度+{1}%，伤害+{2}%,7086,Powerful,3,1,1,,
40,,,投石机命中时有几率眩晕敌人,投石机几率眩晕,子弹爆炸时有{1}%的几率使范围内的敌人眩晕{2}秒,7089,Powerful,3,1,1,,
41,,,镶嵌塔紫宝石目标增加,镶嵌塔闪电链目标数量增加,紫宝石闪电链目标数量+{1}个,7092,Powerful,4,1,1,,
9001,,,十字弓,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8000,Powerful,1,1,1,,
9002,,,飞镖发射器,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8001,Powerful,13,1,1,,
9003,,,防空飞弹塔,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8002,Powerful,2,1,1,,
9004,,,火炮塔,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8003,Powerful,9,1,1,,
9005,,,霰弹塔,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8004,Powerful,11,1,1,,
9006,,,回旋飞镖塔,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8005,Powerful,10,1,1,,
9007,,,天空之矛,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8006,Powerful,12,1,1,,
9008,,,风刃发射器,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8007,Powerful,16,1,1,,
9009,,,电磁震荡塔,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8008,Powerful,15,1,1,,
9010,,,气球炸弹塔,肉鸽模式中解锁塔,携带<color=#3333DD>{0}</color>进入战斗,8009,Powerful,14,1,1,,
