MonsterSkill表格,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Description,DescriptionID,Name,Icon,IsPassive,CD,Animation,AnimationDuration,DefaultFireBuff,PassiveTriggerSFX,PassiveTriggerEffect,PassiveTriggerDelay,FireSFX,FireEffect,FireEffectTime,HPPercent0,FireBuff0,HPPercent1,FireBuff1,MP,Bullet,FireTime,SearchTarget,Param0,ParamDesc0
27,,,无法被防御单位侦测,100016,潜行,QianXing,1,0,0,0,313,0,0,0,0,1011,0,0,,0,,0,,,1,,
28,,,受到的毒属性伤害增加。,100006,怕毒,PaDu,1,0,0,0,"314,315",0,0,0,0,0,0,0,,0,,0,,,1,,
29,,,降低被【眩晕】和【击退】的概率；同时降低被眩晕时间和被击退距离。,100009,强壮,QiangZhuang,1,0,0,0,316,0,0,0,0,0,0,0,,0,,0,,,1,,
30,,,受到的毒属性伤害增加。,100006,怕毒,PaDu,1,0,0,0,"317,318",0,0,0,0,0,0,0,,0,,0,,,1,,
31,,,哥哥被击败时，使自身获得伤害减免和移速提升效果。,100017,兄弟情谊,XiongDiQingYi,1,0,0,0,319,5010,1023,0,0,0,0,0,,0,,0,,,1,,
32,,,受到的火属性伤害增加。,100005,怕火,PaHuo,1,0,0,0,"322,323",0,0,0,0,0,0,0,,0,,0,,,1,,
33,,,弟弟被击败时，使自身获得伤害减免和移速提升效果。,100018,兄弟情谊,XiongDiQingYi,1,0,0,0,324,5010,1023,0,0,0,0,0,,0,,0,,,1,,
34,,,受到的冰属性伤害增加。,100019,怕冰,PaBing,1,0,0,0,"327,328",0,0,0,0,0,0,0,,0,,0,,,1,,
35,,,降低被【眩晕】和【击退】的概率；同时降低被眩晕时间和被击退距离。,100009,强壮,QiangZhuang,1,0,0,0,332,0,0,0,0,0,0,0,,0,,0,,,1,,
36,,,受到的毒属性伤害增加。,100006,怕毒,PaDu,1,0,0,0,"333,334",0,0,0,0,0,0,0,,0,,0,,,1,,
37,,,降低被【眩晕】和【击退】的概率；同时降低被眩晕时间和被击退距离。,100009,强壮,QiangZhuang,1,0,0,0,335,0,0,0,0,0,0,0,,0,,0,,,1,,
38,,,受到的毒属性伤害增加。,100006,怕毒,PaDu,1,0,0,0,"336,337",0,0,0,0,0,0,0,,0,,0,,,1,,
39,,,提高自身移动速度，但增加受到的攻击伤害。,100021,轻装上阵,QingZhuangShangZhen,1,0,0,0,"338,339",0,0,0,0,0,0,0,,0,,0,,,1,,
40,,,免疫所有元素伤害。,100020,元素免疫,YuanSuMianYi,1,0,0,0,340,0,0,0,0,0,0,0,,0,,0,,,1,,
41,,,降低自身被暴击的概率。,100013,弱点防御,RuoDianFangYu,1,0,0,0,341,0,1019,0,0,0,0,0,,0,,0,,,1,,
42,,,受到的电属性伤害增加。,100014,怕电,PaDian,1,0,0,0,"342,343",0,0,0,0,0,0,0,,0,,0,,,1,,
43,,,清除自身负面状态，同时召唤两个分身。分身继承一定百分比血量，一段时间后消失。,100022,分身术,FenShenShu,0,0,3,0.7,345,0,0,0,0,1015,0.7,0.33,344,0,,0,,,1,,
44,,,召唤1只小灰狼进入战场，属性继承召唤者属性的一定百分比。,100004,初级召唤,ChuJiZhaoHuan,0,0,3,1.5,,0,0,0,5002,1012,0,0.66,346,0.33,346,0,,,1,,
45,,,对周围一名血量最低的友方单位释放护盾，使其在一段时间内获得伤害减免。,100023,守护之盾,ShouHuZhiDun,0,0,3,0.6,,0,0,0,5005,1005,0,0.66,347,0,,0,,,2,3,"寻敌范围半径,单位是格子大小"
46,,,恢复自身和周围友军一定百分比的生命。,100024,群疗,QunLiao,0,60,3,0.5,,0,0,0,5006,1008,0.5,0.33,348,0,,0,,,1,,
47,,,提升60%闪避率，可以闪避以自身为目标的攻击，但无法闪避AOE/溅射伤害。,100025,灵活,LingHuo,0,0,0,0,,0,0,0,5007,1018,0,0.33,350,0,,0,,,1,,
48,,,向地图中最强的一名敌方单位扔出一颗炸弹，使目标【缴械】。,100026,投弹,TouDan,0,0,3,1.67,,0,0,0,0,0,0,0.7,,0.4,,0,4,0,3,,
49,,,原地释放一颗烟雾弹，烟雾停留一段时间，使所有烟雾范围内的友方单位闪避率提升。,100027,烟雾弹,YanWuDan,0,0,3,0.5,,0,0,0,5009,1025,0,0.33,,0,,0,5,0,1,,
50,,,向前方闪烁3格距离，沿途不会触发陷阱。,100003,闪现,ShanXian,0,0,0,0,,0,0,0,5001,1009,0,0.5,353,0,,0,,,1,,
51,,,短时间提升自身移动速度。,100001,狂奔,KuangBen,0,0,0,0,,0,0,0,5000,1007,0,0.5,354,0,,0,,,1,,
52,,,光环效果，使周围的防御塔被【缴械】,100028,威严,WeiYan,0,0,3,3,,0,0,0,0,1022,1,0.8,,0,,0,,,1,,
53,,,召唤1只飞天狼进入战场，属性继承召唤者属性的一定百分比。,100029,高级召唤,GaoJiZhaoHuan,0,0,3,3.8,,0,0,0,5002,1017,0,0.7,357,0.3,357,0,,,1,,
54,,,清除自身负面状态，同时召唤若干个分身。分身继承一定百分比血量，一段时间后消失。,100030,多重影分身,DuoChongYinFenShen,0,0,3,1.5,359,0,0,0,5011,1015,0,0.66,358,0,,0,,,1,,
55,,,自身获得70%攻击伤害减免，强迫范围内敌方防御单位攻击自己，持续一段时间。,100031,嘲讽,ChaoFeng,0,0,3,0.5,,0,0,0,0,1002,0,0.5,360,0,,0,,,1,,
56,,,召唤1只飞天狼进入战场，属性继承召唤者属性的一定百分比。,100029,高级召唤,GaoJiZhaoHuan,0,0,3,2.1,,0,0,0,5002,1012,0,0.7,734,0.3,734,0,,,1,,
57,,,召唤1只暴走狼进入战场，属性继承召唤者属性的一定百分比。,100032,初级召唤,ChuJiZhaoHuan,0,0,3,1.5,,0,0,0,5002,1012,0,0.66,735,0.33,735,0,,,1,,
58,,,在一定时间内完全免疫物理伤害,100033,刀枪不入,WuLiMianYi,0,0,3,1,,0,0,0,0,1012,1,0.66,736,0,,0,,,1,,
59,,,向前方闪烁3格距离，沿途不会触发陷阱。,100003,闪现,ShanXian,0,0,0,0,,0,0,0,5001,1009,0,0.5,737,0,,0,,,1,,
