Effect表格,,,,
Both,,,,
ID,VariableName,VariableComment,Path,SupportMoveToHide
1023,,,Effect/Monster/P_FX_Mons_Skill_XiongDiQingYi.prefab,1
1024,,,Effect/Monster/P_FX_Mons_Skill_XuanYun.prefab,1
1025,,,Effect/Monster/P_FX_Mons_Skill_YanWuDan.prefab,1
1026,,,Effect/Monster/P_FX_Mons_Skill_ZiBao.prefab,0
1027,,,Effect/Monster/P_FX_Mons_Skill_QianXing.prefab,1
1028,,,Effect/Monster/P_FX_Mons_Skill_ShouHuZhiDun.prefab,1
2003,,,Effect/Buff/P_FX_poison.prefab,1
2004,,,Effect/Buff/P_FX_chill.prefab,1
2036,,,Effect/Buff/P_FX_burn.prefab,1
2099,FOCUS_BUFF,集火Buff特效,Effect/Buff/P_Focus.prefab,0
4000,,,Effect/Buff/P_FX_TOW_AttackRange_Buff.prefab,1
4001,,,Effect/Buff/P_FX_TOW_AttackRange_Debuff.prefab,1
4010,,,Effect/Buff/P_FX_TOW_AttackSpeed_Buff.prefab,1
4011,,,Effect/Buff/P_FX_TOW_AttackSpeed_Debuff.prefab,1
4020,,,Effect/Buff/P_FX_TOW_Critical_Buff.prefab,1
4021,,,Effect/Buff/P_FX_TOW_Critical_Debuff.prefab,1
4030,,,Effect/Buff/P_FX_TOW_Damage_Buff.prefab,1
4031,,,Effect/Buff/P_FX_TOW_Damage_Debuff.prefab,1
5001,,,Effect/TowerState/P_FX_TowerBuild.prefab,1
5002,,,Effect/TowerState/P_FX_TowerRemove.prefab,1
5003,,,Effect/TowerState/P_FX_TowerUpgrade.prefab,1
5004,,,Effect/TowerState/P_FX_TowerSelect.prefab,1
5005,,,Effect/TowerState/P_FX_TowerParalysis.prefab,1
5006,HERO_PLACE,放置英雄时播放的特效,Effect/Effect/P_FX_yingxiongshengji.prefab,1
5007,ACTIVITY_CHANGE,活动界面切页特效,UI/Common/ActivityTransition.prefab,1
5008,TOWER_PLACE,放置塔时播放的特效,Effect/Effect/Tower_Placing.prefab,1
5009,TOWER_SELECT,塔选中的特效,Effect/Effect/Tower_Select.prefab,1
5010,MONSTER_DEAD,怪物死亡时的特效,Effect/MonsterDeath/P_FX_Ghost_2.prefab,1
5011,TOWER_RANGE,显示防御塔攻击范围的特效,Scene/BattleCommon/Prefab/TowerRange.prefab,1
5012,TOWER_MIN_RANGE,显示防御塔攻击范围的特效,Scene/BattleCommon/Prefab/TowerMinRange.prefab,1
5013,SKILL_RANGE,显示技能攻击范围的特效,Scene/BattleCommon/Prefab/SkillRange.prefab,1
5014,END_POINT,终点特效,Scene/BattleCommon/Effects/P_PortalVFX.prefab,1
5015,BATTLE_PATH,战斗路线显示,Scene/BattleCommon/PathLine/PathLine.prefab,1
5016,BATTLE_PATH_PREVIEW,战斗路线预览显示,Scene/BattleCommon/PathLine/PreviewPathLine.prefab,1
5017,BATTLE_MOVE_PATH,战斗路线特效显示,Scene/BattleCommon/PathLine/MovePathLine.prefab,1
5018,MAP_PORTAL,传送门特效,Effect/Effect/MapPortal.prefab,1
101001,,,Tower/ShiZiGong_Effect/P_FX_shizigong.prefab,0
101101,,,Tower/ShiZiGong_Effect/P_FX_shizigong_lv2.prefab,0
101201,,,Tower/ShiZiGong_Effect/P_FX_shizigong_lv3.prefab,0
101011,,,Tower/ShiZiGong_Effect/P_FX_shizigong_red.prefab,0
101021,,,Tower/ShiZiGong_Effect/P_FX_shizigong_green.prefab,0
101031,,,Tower/ShiZiGong_Effect/P_FX_shizigong_blue.prefab,0
101041,,,Tower/ShiZiGong_Effect/P_FX_shizigong_purple.prefab,0
101051,,,Tower/ShiZiGong_Effect/P_FX_shizigong_yellow.prefab,0
101061,,,Tower/ShiZiGong_Effect/P_FX_shizigong_black.prefab,0
101002,,,Tower/ShiZiGong_Effect/P_FX_shizigong_hit.prefab,1
101012,,,Tower/ShiZiGong_Effect/P_FX_shizigong_red_hit.prefab,1
101022,,,Tower/ShiZiGong_Effect/P_FX_shizigong_green_hit.prefab,1
101032,,,Tower/ShiZiGong_Effect/P_FX_shizigong_blue_hit.prefab,1
101042,,,Tower/ShiZiGong_Effect/P_FX_shizigong_purple_hit.prefab,1
101052,,,Tower/ShiZiGong_Effect/P_FX_shizigong_yellow_hit.prefab,1
101062,,,Tower/ShiZiGong_Effect/P_FX_shizigong_black_hit.prefab,1
102001,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong.prefab,0
102101,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_lv2.prefab,0
102201,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_lv3.prefab,0
102011,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_red.prefab,0
102021,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_green.prefab,0
102031,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_blue.prefab,0
102041,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_purple.prefab,0
102051,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_yellow.prefab,0
102061,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_black.prefab,0
102002,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_hit.prefab,1
102012,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_red_hit.prefab,1
102022,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_green_hit.prefab,1
102032,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_blue_hit.prefab,1
102042,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_purple_hit.prefab,1
102052,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_yellow_hit.prefab,1
102062,,,Tower/FangKongFeiDanTa_Effect/P_FX_fangkong_black_hit.prefab,1
103001,,,Tower/TouShiJi_Effect/P_FX_toushi.prefab,0
103011,,,Tower/TouShiJi_Effect/P_FX_toushi_red.prefab,0
103021,,,Tower/TouShiJi_Effect/P_FX_toushi_green.prefab,0
103031,,,Tower/TouShiJi_Effect/P_FX_toushi_blue.prefab,0
103041,,,Tower/TouShiJi_Effect/P_FX_toushi_purple.prefab,0
103051,,,Tower/TouShiJi_Effect/P_FX_toushi_yellow.prefab,0
103002,,,Tower/TouShiJi_Effect/P_FX_toushi_hit.prefab,1
103012,,,Tower/TouShiJi_Effect/P_FX_toushi_red_hit.prefab,1
103022,,,Tower/TouShiJi_Effect/P_FX_toushi_green_hit.prefab,1
103032,,,Tower/TouShiJi_Effect/P_FX_toushi_blue_hit.prefab,1
103042,,,Tower/TouShiJi_Effect/P_FX_toushi_purple_hit.prefab,1
103052,,,Tower/TouShiJi_Effect/P_FX_toushi_yellow_hit.prefab,1
103062,,,Tower/TouShiJi_Effect/P_FX_toushi_black_hit.prefab,1
104011,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_red.prefab,0
104021,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_green.prefab,0
104031,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_blue.prefab,0
104041,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_purple.prefab,0
104012,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_red_hit.prefab,1
104022,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_green_hit.prefab,1
104032,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_blue_hit.prefab,1
104042,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_purple_hit.prefab,1
104052,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_yellow_hit.prefab,1
104062,,,Tower/XiangQianTa_Effect/P_FX_xiangqianta_black_hit.prefab,1
104043,,,Tower/XiangQianTa_Effect/Line.prefab,0
108001,,,Tower/HuoPaoTa_Effect/P_FX_huopao.prefab,0
108101,,,Tower/HuoPaoTa_Effect/P_FX_huopao_lv2.prefab,0
108201,,,Tower/HuoPaoTa_Effect/P_FX_huopao_lv3.prefab,0
108011,,,Tower/HuoPaoTa_Effect/P_FX_huopao_red.prefab,0
108021,,,Tower/HuoPaoTa_Effect/P_FX_huopao_green.prefab,0
108031,,,Tower/HuoPaoTa_Effect/P_FX_huopao_blue.prefab,0
108041,,,Tower/HuoPaoTa_Effect/P_FX_huopao_purple.prefab,0
108051,,,Tower/HuoPaoTa_Effect/P_FX_huopao_yellow.prefab,0
108061,,,Tower/HuoPaoTa_Effect/P_FX_huopao_black.prefab,0
108002,,,Tower/HuoPaoTa_Effect/P_FX_huopao_hit.prefab,1
108012,,,Tower/HuoPaoTa_Effect/P_FX_huopao_red_hit.prefab,1
108022,,,Tower/HuoPaoTa_Effect/P_FX_huopao_green_hit.prefab,1
108032,,,Tower/HuoPaoTa_Effect/P_FX_huopao_blue_hit.prefab,1
108042,,,Tower/HuoPaoTa_Effect/P_FX_huopao_purple_hit.prefab,1
108052,,,Tower/HuoPaoTa_Effect/P_FX_huopao_yellow_hit.prefab,1
108062,,,Tower/HuoPaoTa_Effect/P_FX_huopao_black_hit.prefab,1
109001,,,Tower/QiuXingFeiDanTa_Effect/P_FX_huixuanbiao.prefab,0
109101,,,Tower/QiuXingFeiDanTa_Effect/P_FX_huixuanbiao.prefab,0
109201,,,Tower/QiuXingFeiDanTa_Effect/P_FX_huixuanbiao.prefab,0
109011,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_red.prefab,0
109021,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_green.prefab,0
109031,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_blue.prefab,0
109041,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_purple.prefab,0
109051,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_yellow.prefab,0
109061,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_black.prefab,0
109002,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_hit.prefab,1
109012,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_red_hit.prefab,1
109022,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_green_hit.prefab,1
109032,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_blue_hit.prefab,1
109042,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_purple_hit.prefab,1
109052,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_yellow_hit.prefab,1
109062,,,Tower/QiuXingFeiDanTa_Effect/P_FX_feidanta_black_hit.prefab,1
110001,,,Tower/XianDanTa_Effect/P_FX_xiandanta.prefab,1
110101,,,Tower/XianDanTa_Effect/P_FX_xiandanta_lv2.prefab,1
110201,,,Tower/XianDanTa_Effect/P_FX_xiandanta_lv3.prefab,1
110011,,,Tower/XianDanTa_Effect/P_FX_xiandanta_red.prefab,1
110021,,,Tower/XianDanTa_Effect/P_FX_xiandanta_green.prefab,1
110031,,,Tower/XianDanTa_Effect/P_FX_xiandanta_blue.prefab,1
110041,,,Tower/XianDanTa_Effect/P_FX_xiandanta_purple.prefab,1
110002,,,Tower/XianDanTa_Effect/P_FX_xiandanda_hit.prefab,1
110012,,,Tower/XianDanTa_Effect/P_FX_xiandanda_red_hit.prefab,1
110022,,,Tower/XianDanTa_Effect/P_FX_xiandanda_green_hit.prefab,1
110032,,,Tower/XianDanTa_Effect/P_FX_xiandanda_blue_hit.prefab,1
110042,,,Tower/XianDanTa_Effect/P_FX_xiandanda_purple_hit.prefab,1
110052,,,Tower/XianDanTa_Effect/P_FX_xiandanda_yellow_hit.prefab,1
110062,,,Tower/XianDanTa_Effect/P_FX_xiandanda_black_hit.prefab,1
111001,,,Tower/TianKongZhiMao_Effect/P_FX_changmao.prefab,0
111101,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_lv2.prefab,0
111201,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_lv3.prefab,0
111011,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_red.prefab,0
111021,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_green.prefab,0
111031,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_blue.prefab,0
111041,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_purple.prefab,0
111051,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_yellow.prefab,0
111061,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_black.prefab,0
111002,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_hit.prefab,1
111012,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_red_hit.prefab,1
111022,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_green_hit.prefab,1
111032,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_blue_hit.prefab,1
111042,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_purple_hit.prefab,1
111052,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_yellow_hit.prefab,1
111062,,,Tower/TianKongZhiMao_Effect/P_FX_changmao_black_hit.prefab,1
112001,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao.prefab,0
112101,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_lv2.prefab,0
112201,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_lv3.prefab,0
112011,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_red.prefab,0
112021,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_green.prefab,0
112031,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_blue.prefab,0
112041,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_purple.prefab,0
112051,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_yellow.prefab,0
112061,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_black.prefab,0
112002,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_hit.prefab,1
112012,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_red_hit.prefab,1
112022,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_green_hit.prefab,1
112032,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_blue_hit.prefab,1
112042,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_purple_hit.prefab,1
112052,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_yellow_hit.prefab,1
112062,,,Tower/FeiBiaoFaSheQi_Effect/P_FX_feibiao_black_hit.prefab,1
113001,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1.prefab,1
113011,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1_red.prefab,1
113021,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1_green.prefab,1
113031,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1_blue.prefab,1
113041,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1_purple.prefab,1
113051,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1_yellow.prefab,1
113061,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv1_black.prefab,1
113101,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2.prefab,1
113111,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2_red.prefab,1
113121,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2_green.prefab,1
113131,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2_blue.prefab,1
113141,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2_purple.prefab,1
113151,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2_yellow.prefab,1
113161,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv2_black.prefab,1
113201,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3.prefab,1
113211,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3_red.prefab,1
113221,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3_green.prefab,1
113231,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3_blue.prefab,1
113241,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3_purple.prefab,1
113251,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3_yellow.prefab,1
113261,,,Tower/QiQiuZhaDanTa_Effect/P_qiqiu_lv3_black.prefab,1
113002,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_hit.prefab,1
113012,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_red_hit.prefab,1
113022,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_green_hit.prefab,1
113032,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_blue_hit.prefab,1
113042,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_purple_hit.prefab,1
113052,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_yellow_hit.prefab,1
113062,,,Tower/QiQiuZhaDanTa_Effect/P_FX_qiqiu_black_hit.prefab,1
114001,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta.prefab,0
114101,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_lv2.prefab,0
114201,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_lv3.prefab,0
114011,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_red.prefab,0
114021,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_green.prefab,0
114031,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_blue.prefab,0
114041,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_purple.prefab,0
114051,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_yellow.prefab,0
114061,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_black.prefab,0
114002,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_hit.prefab,1
114012,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_red_hit.prefab,1
114022,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_green_hit.prefab,1
114032,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_blue_hit.prefab,1
114042,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_purple_hit.prefab,1
114052,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_yellow_hit.prefab,1
114062,,,Tower/ZhenDangTa_Effect/P_FX_zhendangta_black_hit.prefab,1
115001,,,Tower/BoDongTa_Effect/P_FX_bodongta.prefab,0
115101,,,Tower/BoDongTa_Effect/P_FX_bodongta_lv2.prefab,0
115201,,,Tower/BoDongTa_Effect/P_FX_bodongta_lv3.prefab,0
115011,,,Tower/BoDongTa_Effect/P_FX_bodongta_red.prefab,0
115021,,,Tower/BoDongTa_Effect/P_FX_bodongta_green.prefab,0
115031,,,Tower/BoDongTa_Effect/P_FX_bodongta_blue.prefab,0
115041,,,Tower/BoDongTa_Effect/P_FX_bodongta_purple.prefab,0
115051,,,Tower/BoDongTa_Effect/P_FX_bodongta_yellow.prefab,0
115061,,,Tower/BoDongTa_Effect/P_FX_bodongta_black.prefab,0
115002,,,Tower/BoDongTa_Effect/P_FX_bodongta_hit.prefab,1
115012,,,Tower/BoDongTa_Effect/P_FX_bodongta_red_hit.prefab,1
115022,,,Tower/BoDongTa_Effect/P_FX_bodongta_green_hit.prefab,1
115032,,,Tower/BoDongTa_Effect/P_FX_bodongta_blue_hit.prefab,1
115042,,,Tower/BoDongTa_Effect/P_FX_bodongta_purple_hit.prefab,1
115052,,,Tower/BoDongTa_Effect/P_FX_bodongta_yellow_hit.prefab,1
115062,,,Tower/BoDongTa_Effect/P_FX_bodongta_black_hit.prefab,1
