Tower表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,FunctionType,FunctionTypeName,Description,LocalLang,Prefab,Icon,Skill,Range,HexRange,DefaultBuff,Star,Level,Type,RotateRoot,Price,RogueLevelUpTowerSilverCost,LevelUpCostID,LevelUpCostParam0,LevelUpCostParam1,LevelUpCostParam2,StarUpCostID,StarUpCostCount,SellReward,SellParam0,SellParam1,SellParam2,Critical,DisplayInOrder
210,,,防空飞弹塔,2,火种,[空中目标]能够一次发射多枚小型防空弹，针对多个飞行目标进行精准打击。无法攻击地面敌人,61011,Tower/FangKongFeiDanTa/P_FangKongFeiDanTa_lv2.prefab,FangKongFeiDanTa_lv2,2101,2,,,2,1,2,Mark_H,6,"1,5,3|6,10,4|11,30,6","1001,1004","500,500","20000,20000","10,10",1004,0,1004,250,10000,5,0.1,3
220,,,防空飞弹塔,2,火种,[空中目标]能够一次发射多枚小型防空弹，针对多个飞行目标进行精准打击。无法攻击地面敌人,61011,Tower/FangKongFeiDanTa/P_FangKongFeiDanTa_lv3.prefab,FangKongFeiDanTa_lv3,2201,2,,,3,1,2,Mark_H,18,"1,5,3|6,10,4|11,30,6","1001,1004","500,500","20000,20000","10,10",1004,0,1004,250,10000,5,0.1,3
800,,,火炮塔,2,火种,[地面目标]向天空中发射重型炮弹，经过一段时间后炮弹在目标位置垂直落向地面造成AOE伤害。,61007,Tower/HuoPaoTa/P_HuoPaoTa_lv1.prefab,YunShiHuoPaoTa_lv1,8001,4.5,,,1,1,9,Mark_H,5,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,6
810,,,火炮塔,2,火种,[地面目标]向天空中发射重型炮弹，经过一段时间后炮弹在目标位置垂直落向地面造成AOE伤害。,61007,Tower/HuoPaoTa/P_HuoPaoTa_lv2.prefab,YunShiHuoPaoTa_lv2,8101,4.6,,,2,1,9,Mark_H,15,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,6
820,,,火炮塔,2,火种,[地面目标]向天空中发射重型炮弹，经过一段时间后炮弹在目标位置垂直落向地面造成AOE伤害。,61007,Tower/HuoPaoTa/P_HuoPaoTa_lv3.prefab,YunShiHuoPaoTa_lv3,8201,4.7,,,3,1,9,Mark_H,45,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,6
1000,,,霰弹塔,2,火种,[地面目标]类似霰弹枪的原理，发射一组小型弹丸对面前30度扇形范围内所有敌人造成伤害。,61005,Tower/XianDanTa/P_SanDanTa_lv1.prefab,SanDanTa_lv1,10001,1.4,,,1,1,11,Mark_H,3,"1,5,4|6,10,5|11,30,7","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,4
1010,,,霰弹塔,2,火种,[地面目标]类似霰弹枪的原理，发射一组小型弹丸对面前30度扇形范围内所有敌人造成伤害。,61005,Tower/XianDanTa/P_SanDanTa_lv2.prefab,SanDanTa_lv2,10101,1.4,,,2,1,11,Mark_H,9,"1,5,4|6,10,5|11,30,7","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,4
1020,,,霰弹塔,2,火种,[地面目标]类似霰弹枪的原理，发射一组小型弹丸对面前30度扇形范围内所有敌人造成伤害。,61005,Tower/XianDanTa/P_SanDanTa_lv3.prefab,SanDanTa_lv3,10201,1.4,,,3,1,11,Mark_H,27,"1,5,4|6,10,5|11,30,7","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,4
900,,,回旋飞镖塔,1,机括,[空中目标]调整了飞镖发射器的结构设计，使其可以对空中狭窄区域内来回打击。,61006,Tower/QiuXingFeiDanTa/P_QiuXingFeiDanTa_lv1.prefab,QiuXingFeiDanTa_lv1,9001,3.6,,,1,1,10,Mark_H,2,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,7
910,,,回旋飞镖塔,1,机括,[空中目标]调整了飞镖发射器的结构设计，使其可以对空中狭窄区域内来回打击。,61006,Tower/QiuXingFeiDanTa/P_QiuXingFeiDanTa_lv2.prefab,QiuXingFeiDanTa_lv2,9101,3.6,,,2,1,10,Mark_H,6,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,7
920,,,回旋飞镖塔,1,机括,[空中目标]调整了飞镖发射器的结构设计，使其可以对空中狭窄区域内来回打击。,61006,Tower/QiuXingFeiDanTa/P_QiuXingFeiDanTa_lv3.prefab,QiuXingFeiDanTa_lv3,9201,3.6,,,3,1,10,Mark_H,18,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,7
1100,,,天空之矛,1,机括,[所有目标]能够发射重型长矛，以击落任何想要穿越防线的敌人，擅长对精英目标进行精确打击。,61004,Tower/TianKongZhiMao/P_TianKongZhiMao_lv1.prefab,TianKongZhiMao_lv1,11001,2.2,,,1,1,12,Mark_H,4,"1,5,6|6,10,7|11,30,9","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,5
1110,,,天空之矛,1,机括,[所有目标]能够发射重型长矛，以击落任何想要穿越防线的敌人，擅长对精英目标进行精确打击。,61004,Tower/TianKongZhiMao/P_TianKongZhiMao_lv2.prefab,TianKongZhiMao_lv2,11101,2.2,,,2,1,12,Mark_H,12,"1,5,6|6,10,7|11,30,9","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,5
1120,,,天空之矛,1,机括,[所有目标]能够发射重型长矛，以击落任何想要穿越防线的敌人，擅长对精英目标进行精确打击。,61004,Tower/TianKongZhiMao/P_TianKongZhiMao_lv3.prefab,TianKongZhiMao_lv3,11201,2.2,,,3,1,12,Mark_H,36,"1,5,6|6,10,7|11,30,9","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,5
1500,,,风刃发射器,3,能量,[地面目标]对目标方向发射一颗波导能量弹，对经过的所有敌人造成伤害。飞行距离有上限。,61000,Tower/BoDongTa/P_BoDongTa_lv1.prefab,BoDongTa_lv1,15001,2.1,,,1,1,16,Mark_H,4,"1,5,8|6,10,10|11,30,12","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,9
1510,,,风刃发射器,3,能量,[地面目标]对目标方向发射一颗波导能量弹，对经过的所有敌人造成伤害。飞行距离有上限。,61000,Tower/BoDongTa/P_BoDongTa_lv2.prefab,BoDongTa_lv2,15101,2.1,,,2,1,16,Mark_H,12,"1,5,8|6,10,10|11,30,12","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,9
1520,,,风刃发射器,3,能量,[地面目标]对目标方向发射一颗波导能量弹，对经过的所有敌人造成伤害。飞行距离有上限。,61000,Tower/BoDongTa/P_BoDongTa_lv3.prefab,BoDongTa_lv3,15201,2.1,,,3,1,16,Mark_H,36,"1,5,8|6,10,10|11,30,12","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,9
1400,,,电磁震荡塔,3,能量,[地面目标]每若干秒在塔周围生成一个能量球，与路过的敌人发生碰撞时球体消失并造成伤害。,61001,Tower/ZhenDangTa/P_ZhenDangTa_lv1.prefab,ZhenDanTa_lv1,14001,1.5,,,1,1,15,Mark_H,4,"1,5,10|6,10,12|11,30,14","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,10
1410,,,电磁震荡塔,3,能量,[地面目标]每若干秒在塔周围生成一个能量球，与路过的敌人发生碰撞时球体消失并造成伤害。,61001,Tower/ZhenDangTa/P_ZhenDangTa_lv2.prefab,ZhenDanTa_lv2,14101,1.5,,,2,1,15,Mark_H,12,"1,5,10|6,10,12|11,30,14","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,10
1420,,,电磁震荡塔,3,能量,[地面目标]每若干秒在塔周围生成一个能量球，与路过的敌人发生碰撞时球体消失并造成伤害。,61001,Tower/ZhenDangTa/P_ZhenDangTa_lv3.prefab,ZhenDanTa_lv3,14201,1.5,,,3,1,15,Mark_H,36,"1,5,10|6,10,12|11,30,14","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,10
1300,,,气球炸弹塔,2,火种,[空中目标]利用热气球将炸弹升向空中，这些炸弹会在接近目标时引爆，对一片区域内的空中单位造成破坏。,61002,Tower/QiQiuZhaDanTa/P_QiQiuZhaDanTa_lv1.prefab,QiQiuZhaDanTa_lv1,13001,2.5,,,1,1,14,,3,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,8
1310,,,气球炸弹塔,2,火种,[空中目标]利用热气球将炸弹升向空中，这些炸弹会在接近目标时引爆，对一片区域内的空中单位造成破坏。,61002,Tower/QiQiuZhaDanTa/P_QiQiuZhaDanTa_lv2.prefab,QiQiuZhaDanTa_lv2,13101,2.5,,,2,1,14,,9,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,8
1320,,,气球炸弹塔,2,火种,[空中目标]利用热气球将炸弹升向空中，这些炸弹会在接近目标时引爆，对一片区域内的空中单位造成破坏。,61002,Tower/QiQiuZhaDanTa/P_QiQiuZhaDanTa_lv3.prefab,QiQiuZhaDanTa_lv3,13201,2.5,,,3,1,14,,27,"1,5,6|6,10,8|11,30,10","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,8
400,,,镶嵌塔,3,能量,[所有目标]能够调动自然元素的力量，发射具有不同元素属性的能量球攻击敌人。（需要安装宝石才能攻击）,61009,Tower/XiangQianTa/P_XiangQianTa_lv1.prefab,XiangQianTa_lv1,0,2.2,,,1,1,4,,3,"1,5,10|6,10,12|11,30,14","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0,-1
410,,,镶嵌塔,3,能量,[所有目标]能够调动自然元素的力量，发射具有不同元素属性的能量球攻击敌人。（需要安装宝石才能攻击）,61009,Tower/XiangQianTa/P_XiangQianTa_lv2.prefab,XiangQianTa_lv2,0,2.2,,,2,1,4,,9,"1,5,10|6,10,12|11,30,14","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0,-1
420,,,镶嵌塔,3,能量,[所有目标]能够调动自然元素的力量，发射具有不同元素属性的能量球攻击敌人。（需要安装宝石才能攻击）,61009,Tower/XiangQianTa/P_XiangQianTa_lv3.prefab,XiangQianTa_lv3,0,2.2,,,3,1,4,,27,"1,5,10|6,10,12|11,30,14","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0,-1
300,,,投石机,1,机括,[地面目标]古老的军事工程但仍然可以投入战场使用，投出的成捆碎石在撞击时会碎裂造成AOE伤害，但无法攻击近处。,61010,Tower/TouShiJi/P_TouShiJi_lv1.prefab,TouShiJi_lv1,3001,3.5,,,1,1,3,Mark_H,3,"1,5,4|6,10,5|11,30,7","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,-1
310,,,投石机,1,机括,[地面目标]古老的军事工程但仍然可以投入战场使用，投出的成捆碎石在撞击时会碎裂造成AOE伤害，但无法攻击近处。,61010,Tower/TouShiJi/P_TouShiJi_lv2.prefab,TouShiJi_lv2,3101,3.5,,,2,1,3,Mark_H,9,"1,5,4|6,10,5|11,30,7","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,-1
320,,,投石机,1,机括,[地面目标]古老的军事工程但仍然可以投入战场使用，投出的成捆碎石在撞击时会碎裂造成AOE伤害，但无法攻击近处。,61010,Tower/TouShiJi/P_TouShiJi_lv3.prefab,TouShiJi_lv3,3201,3.5,,,3,1,3,Mark_H,27,"1,5,4|6,10,5|11,30,7","1001,1004","1000,1000","40000,40000","20,20",1004,0,1004,500,20000,10,0.1,-1
450,,,石墩,0,,放置后，可修改敌人行进路径，部分战斗道具可放置在其上方,61008,Tower/DiZuo/P_DiZuo_lv1.prefab,DiZuo_lv1,0,0,,,1,1,8,,1,"1,10,0|11,20,0|21,30,0",,,,,,,,,,,0,-1
