Guide表格,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Type,GroupID,FallbackID,DeactiveInputAtFinish,Tip,TipLocID,TipPosition,NPCPosition,TalkBackground,TalkPosition,NeedClickTalk,NPCTalk,NPCTalkLocID,ClickStyle,Param0,Param1,Param2
38,,,10,1,0,1,,0,0,0,0,0,0,,0,2,,,
39,,,38,2,0,1,,0,0,0,0,0,0,已解锁火炮塔,0,2,9,,
40,,,3,2,0,1,,0,0,2,2,3,1,(闯关获胜)，可以(解锁)不同的[防御塔]，应对不同的敌人。,18152,0,,,
41,,,39,2,0,1,点击（确定）,18139,2,0,0,0,0,,0,2,,,
42,,,13,3,0,1,点击已通过的“关卡图标”,18009,2,0,0,0,0,,0,2,102,,
43,,,14,3,0,1,点击“关卡宝箱”,18010,2,0,0,0,0,,0,2,102,1,
44,,,15,3,44,1,,0,0,0,0,0,0,,0,0,,,
45,,,16,3,44,1,"点击左上角【返回】按钮,回到大厅",0,2,0,0,0,0,,0,2,,,
46,,,3,3,0,1,,0,0,1,2,3,1,这次的胜利让你赢得了一位佣兵伙伴的信任，佣兵对工事的防御有极大的帮助，集合佣兵让我们去进行下一场战斗吧！,18114,0,,,
47,,,17,3,0,1,点击【佣兵】,18012,2,0,0,0,0,,0,3,,,
48,,,18,3,0,1,,0,0,0,0,0,0,,0,3,3,,
49,,,19,3,49,1,,0,0,0,0,0,0,,0,0,,,
50,,,20,3,49,1,,0,0,2,2,3,0,点击【返回】按钮回到村庄，开启新一轮的战斗吧！,18115,2,,,
51,,,3,3,0,1,,0,0,1,2,3,1,新一轮的侵袭即将来临，和佣兵伙伴一起，守护我们的家园！,18116,0,,,
52,,,21,4,0,1,点击【冒险】,18013,2,0,0,0,0,,0,3,,,
53,,,13,4,0,1,,0,0,0,0,0,0,,0,1,103,,
54,,,22,4,0,1,,0,0,0,0,0,0,,0,3,103,0,
55,,,3,4,0,1,,0,0,1,2,3,1,切记在前往战场前，一定要把佣兵勇士编入战斗单位，不然你就只能孤军作战了！,18117,0,,,
56,,,23,4,0,1,点击“佣兵卡片”,18014,2,0,0,0,0,,0,1,3,,
57,,,24,4,0,1,点击【挑战】按钮,18015,2,0,0,0,0,,0,3,,,
58,,,6,4,0,1,点击选择第一个词条,0,0,2,2,3,0,拿取防御塔-【飞镖发射器】,18155,2,0,,
59,,,25,4,0,1,,0,0,1,2,3,0,把佣兵拖拽到作战场地内，参与作战。,18118,4,3,10,
60,,,4,4,0,1,将【飞镖发射器】（拖拽放置）到地面的（目标格位）,18008,1,0,0,0,0,,0,4,13,8,
61,,,4,4,0,1,将【十字弓】（拖拽放置）到地面的（目标格位）,18005,1,0,0,0,0,,0,4,1,1,
62,,,5,4,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
63,,,26,4,0,1,,0,0,1,2,3,0,每个佣兵都拥有自己强大的主动技能，点击技能图标释放技能阻击敌人吧。,18119,3,3,,
64,,,6,4,0,1,拿取防御塔-【火炮塔】,0,0,2,2,3,0,拿取防御塔-【火炮塔】,18157,2,0,,
65,,,4,4,0,1,将【飞镖发射器】（拖拽放置）到地面的（目标格位）,18008,1,0,0,0,0,,0,4,13,17,
66,,,4,4,0,1,将【十字弓】（拖拽放置）到地面的（目标格位）,18005,1,0,0,0,0,,0,4,1,11,
67,,,4,4,0,1,拖拽【火炮塔】到地面的（目标格位）,18148,1,0,0,0,0,,0,4,9,18,
68,,,37,4,0,1,点击（加速战斗）按钮,18149,2,0,0,0,0,,0,2,,,
69,,,5,4,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
70,,,6,4,0,1,点击选择任意一个词条,18007,2,0,0,0,0,,0,0,-1,,
71,,,9,4,0,1,完成一波时显示提示信息,0,0,1,2,3,1,前线哨兵报告，敌方数量突增，现在的工事强度严重不足，（升级防御塔），可以大大（提升战斗力！）,18140,0,,,
72,,,11,4,0,1,点击作战场景内防御塔-【火炮塔】,18170,2,0,0,0,0,,0,1,18,,
73,,,12,4,0,1,"点击""小扳手""升级防御塔",18110,2,0,0,0,0,,0,1,,,
74,,,11,4,0,1,点击作战场景内另一座【十字弓】防御塔,18111,2,0,0,0,0,,0,1,11,,
75,,,12,4,0,1,"点击""小扳手""升级防御塔",18110,2,0,0,0,0,,0,1,,,
76,,,5,4,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
77,,,6,4,0,1,点击选择任意一个词条,18007,2,0,0,0,0,,0,0,-1,,
78,,,11,4,0,1,点击作战场景内防御塔-【火炮塔】,18170,0,1,2,3,0,,0,1,18,,
79,,,12,4,0,1,"点击""小扳手""将，【火炮塔】升至3级.",18171,0,2,2,3,0,,0,1,,,
80,,,3,4,0,1,,0,0,2,2,3,1,面对大面积地面敌人，是时候展现【火炮塔】威力了！,18142,0,,,
81,,,5,4,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
82,,,6,4,0,1,,0,0,2,2,3,0,出现了[火炮塔子弹+1]的强力作战词条，拿下它，让敌人尝尝火炮的洗礼！,18143,2,0,,
83,,,11,4,0,1,点击作战场景内防御塔-【火炮塔】,18170,2,0,0,0,0,,0,1,18,,
84,,,12,4,0,1,"点击""小扳手""将，【火炮塔】升至4级.",18172,2,0,0,0,0,,0,1,,,
85,,,11,4,0,1,点击作战场景内防御塔-【火炮塔】,18170,2,0,0,0,0,,0,1,18,,
86,,,12,4,0,1,"再次点击""小扳手""，将【火炮塔】升至5级.",18173,2,0,0,0,0,,0,1,,,
87,,,5,4,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
88,,,6,4,0,1,点击选择任意一个词条,18007,2,0,0,0,0,,0,0,-1,,
89,,,9,4,0,1,完成一波时显示提示信息,0,0,1,2,3,1,前线哨兵警报！警报！敌方阵营将领Boss出现在战场！,18121,0,,,
90,,,3,4,0,1,,0,0,2,2,3,1,再布防一座[火炮塔]，让我们轰他个七荤八素！,18144,0,,,
91,,,4,4,0,1,拖拽【火炮塔】到地面的（目标格位）,18148,1,0,0,0,0,,0,4,9,25,
92,,,5,4,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
93,,,28,4,0,1,,0,0,1,2,3,1,干的漂亮！村民们还在等我们的消息，一起凯旋吧。,18123,0,,,
94,,,10,4,0,1,,0,0,0,0,0,0,,0,2,,,
95,,,13,5,0,1,点击已通过的“关卡图标”,18009,2,0,0,0,0,,0,2,103,,
96,,,14,5,0,1,点击“关卡宝箱”,18010,2,0,0,0,0,,0,2,103,1,
97,,,15,5,97,1,,0,0,0,0,0,0,,0,0,,,
98,,,16,5,97,1,"点击左上角【返回】按钮,回到大厅",0,2,0,0,0,0,,0,2,,,
99,,,17,6,0,1,点击【佣兵】,18012,2,0,0,0,0,,0,3,,,
100,,,18,6,0,1,,0,0,0,0,0,0,,0,3,15,,
101,,,19,6,101,1,,0,0,0,0,0,0,,0,0,,,
102,,,20,6,101,1,,0,0,2,2,3,0,点击【返回】按钮回到村庄，开启新一轮的战斗吧！,18115,2,,,
103,,,3,7,0,1,,0,0,2,2,3,1,"属于你的[研究所]已经解锁，(作战前)记得先在研究所里(强化防御塔,提升作战能力！)",18145,0,,,
104,,,31,8,0,1,点击【研究所】建筑,18150,2,0,0,0,0,,0,3,,,
105,,,32,8,0,1,点击（升级）按钮,18151,2,0,0,0,0,,0,3,1,,
106,,,33,8,119,1,"点击左上角【返回】按钮,回到村庄",18011,2,0,0,0,0,,0,2,,,
107,,,40,9,0,1,,0,0,0,0,0,0,,0,0,16,,
108,,,3,9,0,1,,0,0,2,2,3,1,[声望]功能已解锁！达成(声望任务)，村民们会给予你丰厚的(回报)！,18146,0,,,
109,,,41,9,0,1,点击（确定）,18139,2,0,0,0,0,,0,2,,,
110,,,29,10,0,0,,0,0,1,2,3,1,你已经是一名合格的指挥官了，我的授课也到此结束，期待与你并肩作战，我们战场上见！,18124,0,,,
111,,,40,11,0,1,,0,0,2,2,3,1,,0,0,3,,
112,,,3,11,0,1,,0,0,2,2,3,1,【任务】功能已解锁！达成每一项[任务]，都会有额定的[回报]！,18158,0,,,
113,,,41,12,0,0,,0,0,0,0,0,0,,0,2,,,
114,,,40,12,0,1,,0,0,2,2,3,1,,0,0,7,,
115,,,3,12,0,1,,0,0,2,2,3,1,【泉水祈福】功能已解锁！提升[祈福等级]，可领取可观的奖励！,18159,0,,,
116,,,41,12,0,0,,0,0,0,0,0,0,,0,2,,,
117,,,40,13,0,1,,0,0,2,2,3,1,,0,0,11,,
118,,,3,13,0,1,,0,0,2,2,3,1,【矿洞探险】功能已解锁！派遣佣兵前往[探险]，获得惊喜收获！,18160,0,,,
119,,,41,13,0,0,,0,0,0,0,0,0,,0,2,,,
120,,,40,14,0,1,,0,0,2,2,3,1,,0,0,10,,
121,,,3,14,0,1,,0,0,2,2,3,1,【丰碑】功能已解锁！组合好丰碑的搭配，将是战斗的制胜关键！,18161,0,,,
122,,,41,14,0,0,,0,0,0,0,0,0,,0,2,,,
123,,,40,16,0,1,,0,0,2,2,3,1,,0,0,9,,
124,,,3,16,0,1,,0,0,2,2,3,1,【防线】功能已解锁！它是这座村庄最后的防御，是你的大本营！布阵、御敌、征战，去实现作为指挥官的宏图霸业吧！,18162,0,,,
