Audio表格,,,,
Both,,,,
ID,VariableName,VariableComment,Path,Description
3034,,,Audio/Tower_SFX/BDT/BoDongTa_Hit2.wav,波动塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3035,,,Audio/Tower_SFX/XQT/XiangQianTa_Fire.wav,镶嵌塔红宝石开火音效，所有等级通用
3036,,,Audio/Tower_SFX/XQT/XiangQianTa_Red_Hit1.wav,镶嵌塔红宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3037,,,Audio/Tower_SFX/XQT/XiangQianTa_Red_Hit2.wav,镶嵌塔红宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3038,,,Audio/Tower_SFX/XQT/XiangQianTa_Fire.wav,镶嵌塔蓝宝石开火音效，所有等级通用
3039,,,Audio/Tower_SFX/XQT/XiangQianTa_Blue_Hit1.wav,镶嵌塔蓝宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3040,,,Audio/Tower_SFX/XQT/XiangQianTa_Blue_Hit2.wav,镶嵌塔蓝宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3041,,,Audio/Tower_SFX/XQT/XiangQianTa_Fire.wav,镶嵌塔绿宝石开火音效，所有等级通用
3042,,,Audio/Tower_SFX/XQT/XiangQianTa_Green_Hit1.wav,镶嵌塔绿宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3043,,,Audio/Tower_SFX/XQT/XiangQianTa_Green_Hit2.wav,镶嵌塔绿宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3044,,,Audio/Tower_SFX/XQT/XiangQianTa_Purple_Fire.wav,镶嵌塔紫宝石开火音效，所有等级通用
3045,,,Audio/Tower_SFX/XQT/XiangQianTa_Purple_Hit1.wav,镶嵌塔紫宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3046,,,Audio/Tower_SFX/XQT/XiangQianTa_Purple_Hit2.wav,镶嵌塔紫宝石命中音效，所有等级通用。每次命中时，两个音效中随机选择1个播放
3047,,,Audio/Tower_SFX/HXFB/HXFB_Fire.wav,回旋飞镖塔开火音效
3048,,,Audio/Tower_SFX/HXFB/HXFB_Hit1.wav,回旋飞镖塔命中音效1
3049,,,Audio/Tower_SFX/HXFB/HXFB_Hit2.wav,回旋飞镖塔命中音效2
4000,,,Audio/Tower_SFX/BuildTower.wav,放置英雄时的通用音效
5000,,,Audio/Monster_SFX/KuangBen.wav,狂奔技能音效
5001,,,Audio/Monster_SFX/ShanXian.wav,闪现技能音效
5002,,,Audio/Monster_SFX/ZhaoHuan.wav,召唤技能音效
5003,,,Audio/Monster_SFX/TuXiBuDui.wav,突袭部队技能音效
5004,,,Audio/Monster_SFX/Zibao.wav,自爆狼自爆音效
5005,,,Audio/Monster_SFX/ShouHuZhiDun.wav,守护之盾技能音效
5006,,,Audio/Monster_SFX/QunLiao.wav,群疗技能音效
5007,,,Audio/Monster_SFX/LingHuo.wav,灵活技能音效
5008,,,Audio/Monster_SFX/ZibaoLangWang.wav,自爆狼王自爆音效
5009,,,Audio/Monster_SFX/YanWuDan.wav,烟雾弹技能音效
5010,,,Audio/Monster_SFX/XiongDiQingYi.wav,兄弟情谊技能音效
5011,,,Audio/Monster_SFX/DuoChongFenShen.wav,多重分身技能音效
