GridPrefab表格,,,,,,
Both,,,,,,
ID,VariableName,VariableComment,GridState,Theme,Prefab,Material
621,,,6,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_CanWalk_NoTower.mat
721,,,7,2,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_NoWalk_CanTower.mat
821,,,8,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
131,,,1,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
132,,,1,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
231,,,2,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
232,,,2,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_2.mat
233,,,2,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_3.mat
234,,,2,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_4.mat
235,,,2,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_5.mat
236,,,2,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_6.mat
631,,,6,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_CanWalk_NoTower.mat
731,,,7,3,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_NoWalk_CanTower.mat
831,,,8,3,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
141,,,1,4,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
142,,,1,4,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
241,,,2,4,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Desert_Normal_1.mat
641,,,6,4,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Desert_Bridge_1.mat
741,,,7,4,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Desert_Normal_1.mat
841,,,8,4,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Desert_Normal_1.mat
151,,,1,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
152,,,1,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
251,,,2,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
252,,,2,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_2.mat
253,,,2,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_3.mat
254,,,2,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_4.mat
255,,,2,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_5.mat
256,,,2,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_6.mat
651,,,6,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Lava.mat
751,,,7,5,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_NoWalk_CanTower.mat
851,,,8,5,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
161,,,1,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
162,,,1,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
261,,,2,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
262,,,2,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_2.mat
263,,,2,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_3.mat
264,,,2,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_4.mat
265,,,2,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_5.mat
266,,,2,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_6.mat
661,,,6,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_CanWalk_NoTower.mat
761,,,7,6,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_NoWalk_CanTower.mat
861,,,8,6,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
