Monster表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,Prefab,Icon,Description,Strength,Defence,HP,Speed,TypeIcon,Skill,DefaultBuff,Population,Score,DropBox,WaveExp,HurtHp,AntiFire,AntiIce,AntiDark,AntiLight,AntiPoison,AntiLightning,Evasion,AntiPenetrating,HpStar,SpeedStar,DefenceStar,BornTalk,BornTalkProbability,DyingTalk,DyingTalkProbability,DieAnimationLength
23,,,杰克哥哥,Monster/JieKeXiong/P_JieKeXiong.prefab,JieKeXiongDi1,从小与弟弟相依为命，可以为了兄弟做任何事。,3,0,14400,1,ShieldSign,"33,34",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,3,3,39033,500,39022,50,0
24,,,教父维托,Monster/DaoMu1/P_DaoMu1.prefab,JiaoFuWeiTuo,狼族的黑帮教父，不怒自威。,3,0,7200,1,ShieldSign,"35,56",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,4,39032,500,39007,50,0
2401,,,教父维托,Monster/DaoMu1/P_DaoMu1.prefab,JiaoFuWeiTuo,狼族的黑帮教父，不怒自威。,3,0,7200,1,ShieldSign,,,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,4,39032,500,39007,50,0
25,,,恶狼将军,Monster/ELangJiangJun/P_ELangJiangJun.prefab,ELangJiangJun,狼群中的铁血统帅。,3,0,18000,1,ShieldSign,"37,38,57",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,4,39031,500,39006,50,1.5
26,,,忍者红太狼,Monster/RenZheHongTaiLang/P_RenZheHongTaiLang.prefab,RenZheHongTaiLang,狼忍村的特别上忍，众多仰慕者趋之若鹜的对象。,3,0,3600,1,SpeedSign,"39,40,54",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,3,4,2,39030,500,39005,50,1.5
27,,,圣殿勇士,Monster/ShengDianYongShi/P_ShengDianYongShi.prefab,ShengDianQiShi,狼族第一战将。,3,0,22000,0.8,ShieldSign,"41,42,55",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,5,2,4,39029,500,39004,50,1.5
28,,,忍者红太狼分身,Monster/RenZheHongTaiLang/P_RenZheHongTaiLang.prefab,RenZheHongTaiLang,忍者红太狼分身,1,0,1758,1.2,SpeedSign,"39,40",,40,0,0,"5|0,10|0,10|0,15|0,20|0,99|0",3,0,0,0,0,0,0,0,200,3,4,4,39030,500,39003,50,0
101,,,盗宝小灰狼,Monster/XiaoHuiLang/P_XiaoHuiLang.prefab,XiaoHuiLang,百变小神偷，极其贪财，身手矫健，身上藏着很多金银珠宝，遇到危险脚底抹油。,3,0,15000,2.3,SpeedSign,1,,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",1,0,0,0,0,0,0,0,200,4,2,2,39001,500,39000,50,0
29,,,僵尸狼,Monster/Jiangshilang/P_JiangShiLang.prefab,JiangShiLang,,2,0,1000,1.3,,,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,200,3,2,2,39040,500,39020,50,1.5
30,,,分身狼,Monster/RenZheLang_FenShen/P_RenZheLang.prefab,RenZheLang,分身狼的影子分身。,2,0,413,1,,,,1,1,0,"5|0,10|0,10|0,15|0,20|0,99|0",1,0,0,0,0,0,0,0,100,3,3,2,39044,0,39019,0,0
31,,,教父维托,Monster/DaoMu1/P_DaoMu1.prefab,JiaoFuWeiTuo,狼族的黑帮教父，不怒自威。,3,0,7200,1,ShieldSign,"35,36,52,56",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,4,39032,500,39007,50,0
32,,,恶狼将军,Monster/ELangJiangJun/P_ELangJiangJun.prefab,ELangJiangJun,狼群中的铁血统帅。,3,0,18000,1.2,ShieldSign,"37,38,53",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,4,39031,500,39006,50,1.5
33,,,巨熊,Monster/Xiong/P_Xiong.prefab,Xiong,能够激活魔法护甲免疫物理伤害,3,0,24000,1.1,ShieldSign,58,,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,5,2,4,39053,0,39056,0,1.5
34,,,蝙蝠,Monster/Bianfu/P_BianFu.prefab,BianFu,,1,0,1240,1.2,FLightSign,2,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,3,39054,0,39057,0,1.5
35,,,秃鹫,Monster/TuJiu/P_TuJiu.prefab,TuJiu,,3,0,14400,1.3,FLightSign,"2,59",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,3,39055,0,39058,0,1.5
